market_key,market,symbol,company,industry,canonical_category,canonical_category_label,source_priority,instrument_type,output_subdir,industry_thesis_gate,hype_risk,industry_thesis_summary,industry_thesis_missing_evidence,source_count,source_summary
tw,台股,2303,聯電,晶圓代工,buy_now,現在可以買名單,0,common_equity,tw-2303,theme_only,low,Gate=目前偏題材，缺公司級落地證據；炒作風險=低；成長驅動=成熟製程產能利用率(目標突破90%)；目前主要是題材或來源敘事，尚未看到足夠公司級落地證據。,台股官方公司基本資料未命中；月營收資料未命中或未接到此市場；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
tw,台股,2330,台積電,晶圓代工,buy_now,現在可以買名單,0,common_equity,tw-2330,theme_only,low,Gate=目前偏題材，缺公司級落地證據；炒作風險=低；成長驅動=庫存回補 / 週期復甦；目前主要是題材或來源敘事，尚未看到足夠公司級落地證據。,台股官方公司基本資料未命中；月營收資料未命中或未接到此市場；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
tw,台股,3680,家登,先進封裝設備,buy_now,現在可以買名單,0,common_equity,tw-3680,hype_or_crowded,high,Gate=炒作或擁擠交易風險偏高；炒作風險=高；成長驅動=FO-PLP技術驗證進度；題材/價格/新聞熱度偏熱，但缺少公司級官方營收、訂單或財報證據支撐。,台股官方公司基本資料未命中；月營收資料未命中或未接到此市場；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
tw,台股,4727,台特化,半導體特化,buy_now,現在可以買名單,0,common_equity,tw-4727,theme_only,low,Gate=目前偏題材，缺公司級落地證據；炒作風險=低；成長驅動=訂單 / 客戶導入；目前主要是題材或來源敘事，尚未看到足夠公司級落地證據。,台股官方公司基本資料未命中；月營收資料未命中或未接到此市場；OHLCV 價格脈絡未命中；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
tw,台股,4755,三福化,半導體特化,buy_now,現在可以買名單,0,common_equity,tw-4755,theme_only,medium,Gate=目前偏題材，缺公司級落地證據；炒作風險=中；成長驅動=漲價 / 價格循環；目前主要是題材或來源敘事，尚未看到足夠公司級落地證據。,台股官方公司基本資料未命中；月營收資料未命中或未接到此市場；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
tw,台股,5347,世界先進,晶圓代工,buy_now,現在可以買名單,0,common_equity,tw-5347,theme_only,low,Gate=目前偏題材，缺公司級落地證據；炒作風險=低；成長驅動=漲價 / 價格循環；目前主要是題材或來源敘事，尚未看到足夠公司級落地證據。,台股官方公司基本資料未命中；月營收資料未命中或未接到此市場；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
tw,台股,6584,南俊國際,伺服器滑軌,buy_now,現在可以買名單,0,common_equity,tw-6584,theme_only,low,Gate=目前偏題材，缺公司級落地證據；炒作風險=低；成長驅動=營收表現、外資目標價追蹤；目前主要是題材或來源敘事，尚未看到足夠公司級落地證據。,台股官方公司基本資料未命中；月營收資料未命中或未接到此市場；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
tw,台股,6770,力積電,晶圓代工,buy_now,現在可以買名單,0,common_equity,tw-6770,theme_only,low,Gate=目前偏題材，缺公司級落地證據；炒作風險=低；成長驅動=成熟製程產能利用率；目前主要是題材或來源敘事，尚未看到足夠公司級落地證據。,台股官方公司基本資料未命中；月營收資料未命中或未接到此市場；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
us,美股,GLW,康寧,光通訊/材料,buy_now,現在可以買名單,0,common_equity,us-GLW,hype_or_crowded,high,Gate=炒作或擁擠交易風險偏高；炒作風險=高；成長驅動=庫存回補 / 週期復甦、訂單 / 客戶導入；題材/價格/新聞熱度偏熱，但缺少公司級官方營收、訂單或財報證據支撐。,SEC company tickers 未命中或 SEC_USER_AGENT 未設定；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
us,美股,ISRG,直覺外科,醫療設備,buy_now,現在可以買名單,0,common_equity,us-ISRG,theme_only,low,Gate=目前偏題材，缺公司級落地證據；炒作風險=低；成長驅動=盈餘成長率、遠期本益比；目前主要是題材或來源敘事，尚未看到足夠公司級落地證據。,SEC company tickers 未命中或 SEC_USER_AGENT 未設定；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
us,美股,MCD,麥當勞,必需消費,buy_now,現在可以買名單,0,common_equity,us-MCD,theme_only,low,Gate=目前偏題材，缺公司級落地證據；炒作風險=低；成長驅動=EPS增速預期；目前主要是題材或來源敘事，尚未看到足夠公司級落地證據。,SEC company tickers 未命中或 SEC_USER_AGENT 未設定；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
us,美股,ORCL,甲骨文,雲端軟體,buy_now,現在可以買名單,0,common_equity,us-ORCL,theme_only,low,Gate=目前偏題材，缺公司級落地證據；炒作風險=低；成長驅動=AI / 資料中心、庫存回補 / 週期復甦、訂單 / 客戶導入；目前主要是題材或來源敘事，尚未看到足夠公司級落地證據。,SEC company tickers 未命中或 SEC_USER_AGENT 未設定；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
us,美股,PLTR,Palantir,AI軟體應用,buy_now,現在可以買名單,0,common_equity,us-PLTR,theme_only,low,Gate=目前偏題材，缺公司級落地證據；炒作風險=低；成長驅動=AI / 資料中心、庫存回補 / 週期復甦；目前主要是題材或來源敘事，尚未看到足夠公司級落地證據。,SEC company tickers 未命中或 SEC_USER_AGENT 未設定；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
us,美股,RKLB,Rocket Lab,航太,buy_now,現在可以買名單,0,common_equity,us-RKLB,hype_or_crowded,high,Gate=炒作或擁擠交易風險偏高；炒作風險=高；成長驅動=庫存回補 / 週期復甦；題材/價格/新聞熱度偏熱，但缺少公司級官方營收、訂單或財報證據支撐。,SEC company tickers 未命中或 SEC_USER_AGENT 未設定；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
us,美股,TSLL,台積電正2 ETF,晶圓代工,buy_now,現在可以買名單,0,fund_or_etf,us-TSLL,theme_only,low,Gate=目前偏題材，缺公司級落地證據；炒作風險=低；成長驅動=台積電現股走勢；目前主要是題材或來源敘事，尚未看到足夠公司級落地證據。,SEC company tickers 未命中或 SEC_USER_AGENT 未設定；OHLCV 價格脈絡未命中；近 7 日公開新聞熱度未命中或未抓取；缺少公司級官方營收、訂單、財報或法說支撐,1,KOL/news 現在可以買名單
