symbol,company,result_status,handoff_statuses,required_objects,next_workflows,packet_json,expected_result_path,template_md,validate_results_report_json
1215,卜蜂,missing,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/tw-1215.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/tw-1215.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/tw-1215.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
1216,統一,missing,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/tw-1216.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/tw-1216.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/tw-1216.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
2330,台積電,missing,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/tw-2330.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/tw-2330.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/tw-2330.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
2354,鴻準,missing,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/tw-2354.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/tw-2354.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/tw-2354.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
2454,聯發科,missing,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/tw-2454.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/tw-2454.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/tw-2454.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
3605,宏致,missing,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/tw-3605.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/tw-3605.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/tw-3605.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
6695,芯鼎,missing,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/tw-6695.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/tw-6695.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/tw-6695.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
6770,力積電,missing,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/tw-6770.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/tw-6770.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/tw-6770.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
9910,豐泰,missing,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/tw-9910.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/tw-9910.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/tw-9910.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
AAPL,Apple Inc,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/us-AAPL.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/us-AAPL.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/us-AAPL.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
