market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
us,ASML,ASML Holding N.V. - New York Registry Shares,buy_now,Watch only,1841.1800537109375,2026-06-25 16:00:00 America/New_York,0% until PEI evidence gate closes,0.75% research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-ASML/risk_plan.html
us,BB,BlackBerry Limited Common Stock,buy_now,Not decision-ready,10.34000015258789,2026-06-25 16:00:00 America/New_York,0% until PEI evidence gate closes,0.75% research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-BB/risk_plan.html
us,CIEN,Ciena Corporation Common Stock,buy_now,Watch only,484.69000244140625,2026-06-25 16:00:00 America/New_York,0% until PEI evidence gate closes,0.75% research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CIEN/risk_plan.html
us,CSX,CSX Corporation - Common Stock,buy_now,Watch only,47.439998626708984,2026-06-25 16:00:00 America/New_York,0% until PEI evidence gate closes,0.75% research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CSX/risk_plan.html
us,MDLN,Medline Inc. - Class A common stock,buy_now,Watch only,37.77000045776367,2026-06-25 16:00:00 America/New_York,0% until PEI evidence gate closes,0.75% research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-MDLN/risk_plan.html
us,ON,ON Semiconductor Corporation - Common Stock,buy_now,Watch only,118.73999786376953,2026-06-25 16:00:00 America/New_York,0% until PEI evidence gate closes,0.75% research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-ON/risk_plan.html
us,PODD,Insulet Corporation - Common Stock,buy_now,Watch only,153.82000732421875,2026-06-25 16:00:00 America/New_York,0% until PEI evidence gate closes,0.75% research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-PODD/risk_plan.html
us,STM,STMicroelectronics N.V. Common Stock,buy_now,Watch only,74.87999725341797,2026-06-25 16:00:00 America/New_York,0% until PEI evidence gate closes,0.75% research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-STM/risk_plan.html
us,UNP,Union Pacific Corporation Common Stock,buy_now,Watch only,267.7300109863281,2026-06-25 16:00:00 America/New_York,0% until PEI evidence gate closes,0.75% research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-UNP/risk_plan.html
us,UPS,United Parcel Service,buy_now,Watch only,109.30999755859375,2026-06-25 16:00:00 America/New_York,0% until PEI evidence gate closes,0.75% research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-UPS/risk_plan.html
us,ADI,Analog Devices,wait_entry,Wait for trigger,417.92999267578125,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-ADI/risk_plan.html
us,ADM,Archer-Daniels-Midland Company Common Stock,wait_entry,Wait for trigger,76.54000091552734,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-ADM/risk_plan.html
us,ANET,Arista Networks,wait_entry,Wait for trigger,165.4499969482422,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-ANET/risk_plan.html
