market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
us,ABBV,AbbVie Inc. Common Stock,buy_now,Watch only,230.00999450683594,2026-06-22 market close America/New_York,0% until fundamental evidence is decision-ready; 5% single-name cap after clearance,0.75%,3.51% trigger-day low distance; requires fundamental stop review,5.0% screen cap before full ADV and ownership review,No hedge proposed in scoped K-line screen; size remains 0% until PEI evidence improves,"Re-underwrite only after follow-through/retest plus filings, earnings, valuation, and liquidity evidence","If already held in a separate portfolio context, trim discipline requires separate holdings review","Exit/watchlist removal if K-line trigger fails, liquidity deteriorates, or fundamentals contradict the setup",No model loss budget deployed in this screen-grade artifact,"Daily price follow-through; refresh SEC filings, earnings, valuation, and liquidity before any model allocation",reports/public-equity-batch/2026-06-22-us-kline/companies/us-ABBV/risk_plan.html
us,AEP,American Electric Power Company,buy_now,Watch only,130.3000030517578,2026-06-22 market close America/New_York,0% until fundamental evidence is decision-ready; 5% single-name cap after clearance,0.75%,1.81% trigger-day low distance; requires fundamental stop review,5.0% screen cap before full ADV and ownership review,No hedge proposed in scoped K-line screen; size remains 0% until PEI evidence improves,"Re-underwrite only after follow-through/retest plus filings, earnings, valuation, and liquidity evidence","If already held in a separate portfolio context, trim discipline requires separate holdings review","Exit/watchlist removal if K-line trigger fails, liquidity deteriorates, or fundamentals contradict the setup",No model loss budget deployed in this screen-grade artifact,"Daily price follow-through; refresh SEC filings, earnings, valuation, and liquidity before any model allocation",reports/public-equity-batch/2026-06-22-us-kline/companies/us-AEP/risk_plan.html
us,AMGN,Amgen Inc. - Common Stock,buy_now,Watch only,344.7200012207031,2026-06-22 market close America/New_York,0% until fundamental evidence is decision-ready; 5% single-name cap after clearance,0.75%,2.07% trigger-day low distance; requires fundamental stop review,5.0% screen cap before full ADV and ownership review,No hedge proposed in scoped K-line screen; size remains 0% until PEI evidence improves,"Re-underwrite only after follow-through/retest plus filings, earnings, valuation, and liquidity evidence","If already held in a separate portfolio context, trim discipline requires separate holdings review","Exit/watchlist removal if K-line trigger fails, liquidity deteriorates, or fundamentals contradict the setup",No model loss budget deployed in this screen-grade artifact,"Daily price follow-through; refresh SEC filings, earnings, valuation, and liquidity before any model allocation",reports/public-equity-batch/2026-06-22-us-kline/companies/us-AMGN/risk_plan.html
us,CNC,Centene Corporation Common Stock,buy_now,Watch only,63.68000030517578,2026-06-22 market close America/New_York,0% until fundamental evidence is decision-ready; 5% single-name cap after clearance,0.75%,2.67% trigger-day low distance; requires fundamental stop review,2.0% screen cap before full ADV and ownership review,No hedge proposed in scoped K-line screen; size remains 0% until PEI evidence improves,"Re-underwrite only after follow-through/retest plus filings, earnings, valuation, and liquidity evidence","If already held in a separate portfolio context, trim discipline requires separate holdings review","Exit/watchlist removal if K-line trigger fails, liquidity deteriorates, or fundamentals contradict the setup",No model loss budget deployed in this screen-grade artifact,"Daily price follow-through; refresh SEC filings, earnings, valuation, and liquidity before any model allocation",reports/public-equity-batch/2026-06-22-us-kline/companies/us-CNC/risk_plan.html
us,CWAN,Clearwater Analytics Holdings,buy_now,Watch only,24.530000686645508,2026-06-22 market close America/New_York,0% until fundamental evidence is decision-ready; 5% single-name cap after clearance,0.75%,0.08% trigger-day low distance; requires fundamental stop review,5.0% screen cap before full ADV and ownership review,No hedge proposed in scoped K-line screen; size remains 0% until PEI evidence improves,"Re-underwrite only after follow-through/retest plus filings, earnings, valuation, and liquidity evidence","If already held in a separate portfolio context, trim discipline requires separate holdings review","Exit/watchlist removal if K-line trigger fails, liquidity deteriorates, or fundamentals contradict the setup",No model loss budget deployed in this screen-grade artifact,"Daily price follow-through; refresh SEC filings, earnings, valuation, and liquidity before any model allocation",reports/public-equity-batch/2026-06-22-us-kline/companies/us-CWAN/risk_plan.html
us,EA,Electronic Arts Inc. - Common Stock,buy_now,Watch only,202.97000122070312,2026-06-22 market close America/New_York,0% until fundamental evidence is decision-ready; 5% single-name cap after clearance,0.75%,0.35% trigger-day low distance; requires fundamental stop review,2.0% screen cap before full ADV and ownership review,No hedge proposed in scoped K-line screen; size remains 0% until PEI evidence improves,"Re-underwrite only after follow-through/retest plus filings, earnings, valuation, and liquidity evidence","If already held in a separate portfolio context, trim discipline requires separate holdings review","Exit/watchlist removal if K-line trigger fails, liquidity deteriorates, or fundamentals contradict the setup",No model loss budget deployed in this screen-grade artifact,"Daily price follow-through; refresh SEC filings, earnings, valuation, and liquidity before any model allocation",reports/public-equity-batch/2026-06-22-us-kline/companies/us-EA/risk_plan.html
us,KMI,Kinder Morgan,buy_now,Watch only,32.25,2026-06-22 market close America/New_York,0% until fundamental evidence is decision-ready; 5% single-name cap after clearance,0.75%,2.11% trigger-day low distance; requires fundamental stop review,2.0% screen cap before full ADV and ownership review,No hedge proposed in scoped K-line screen; size remains 0% until PEI evidence improves,"Re-underwrite only after follow-through/retest plus filings, earnings, valuation, and liquidity evidence","If already held in a separate portfolio context, trim discipline requires separate holdings review","Exit/watchlist removal if K-line trigger fails, liquidity deteriorates, or fundamentals contradict the setup",No model loss budget deployed in this screen-grade artifact,"Daily price follow-through; refresh SEC filings, earnings, valuation, and liquidity before any model allocation",reports/public-equity-batch/2026-06-22-us-kline/companies/us-KMI/risk_plan.html
us,NOK,Nokia Corporation Sponsored American Depositary Shares,buy_now,Watch only,14.430000305175781,2026-06-22 market close America/New_York,0% until fundamental evidence is decision-ready; 5% single-name cap after clearance,0.75%,4.37% trigger-day low distance; requires fundamental stop review,5.0% screen cap before full ADV and ownership review,No hedge proposed in scoped K-line screen; size remains 0% until PEI evidence improves,"Re-underwrite only after follow-through/retest plus filings, earnings, valuation, and liquidity evidence","If already held in a separate portfolio context, trim discipline requires separate holdings review","Exit/watchlist removal if K-line trigger fails, liquidity deteriorates, or fundamentals contradict the setup",No model loss budget deployed in this screen-grade artifact,"Daily price follow-through; refresh SEC filings, earnings, valuation, and liquidity before any model allocation",reports/public-equity-batch/2026-06-22-us-kline/companies/us-NOK/risk_plan.html
us,NVO,Novo Nordisk A,buy_now,Watch only,45.880001068115234,2026-06-22 market close America/New_York,0% until fundamental evidence is decision-ready; 5% single-name cap after clearance,0.75%,4.32% trigger-day low distance; requires fundamental stop review,5.0% screen cap before full ADV and ownership review,No hedge proposed in scoped K-line screen; size remains 0% until PEI evidence improves,"Re-underwrite only after follow-through/retest plus filings, earnings, valuation, and liquidity evidence","If already held in a separate portfolio context, trim discipline requires separate holdings review","Exit/watchlist removal if K-line trigger fails, liquidity deteriorates, or fundamentals contradict the setup",No model loss budget deployed in this screen-grade artifact,"Daily price follow-through; refresh SEC filings, earnings, valuation, and liquidity before any model allocation",reports/public-equity-batch/2026-06-22-us-kline/companies/us-NVO/risk_plan.html
us,PLD,Prologis,buy_now,Watch only,143.8300018310547,2026-06-22 market close America/New_York,0% until fundamental evidence is decision-ready; 5% single-name cap after clearance,0.75%,2.45% trigger-day low distance; requires fundamental stop review,5.0% screen cap before full ADV and ownership review,No hedge proposed in scoped K-line screen; size remains 0% until PEI evidence improves,"Re-underwrite only after follow-through/retest plus filings, earnings, valuation, and liquidity evidence","If already held in a separate portfolio context, trim discipline requires separate holdings review","Exit/watchlist removal if K-line trigger fails, liquidity deteriorates, or fundamentals contradict the setup",No model loss budget deployed in this screen-grade artifact,"Daily price follow-through; refresh SEC filings, earnings, valuation, and liquidity before any model allocation",reports/public-equity-batch/2026-06-22-us-kline/companies/us-PLD/risk_plan.html
