market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,1215,卜蜂,inventory_holding,Watch only,113.5,2026-06-30,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 0.88%; 20D low 112.5 (input only; PM must verify),"20D avg trade value 298,679,955.7; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、權重集中或成本下方弱勢仍在；PEI 仍為 partial，先以風險收斂優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：本輪無數值停損門檻，需後續補跑。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-01-inventory/companies/tw-1215/risk_plan.html
tw,1216,統一,inventory_holding,Watch only,74.5,2026-06-30,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 3.36%; 20D low 72 (input only; PM must verify),"20D avg trade value 1,128,938,985.75; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、權重集中或成本下方弱勢仍在；PEI 仍為 partial，先以風險收斂優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：本輪無數值停損門檻，需後續補跑。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-01-inventory/companies/tw-1216/risk_plan.html
tw,1477,聚陽,inventory_holding,Watch only,219.0,2026-06-30,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 4.11%; 20D low 210 (input only; PM must verify),"20D avg trade value 717,048,948.35; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、權重集中或成本下方弱勢仍在；PEI 仍為 partial，先以風險收斂優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：本輪無數值停損門檻，需後續補跑。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-01-inventory/companies/tw-1477/risk_plan.html
tw,1560,中砂,inventory_holding,Watch only,762.0,2026-06-30,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 22.83%; 20D low 588 (input only; PM must verify),"20D avg trade value 1,180,778,463.2; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、權重集中或成本下方弱勢仍在；PEI 仍為 partial，先以風險收斂優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：本輪無數值停損門檻，需後續補跑。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-01-inventory/companies/tw-1560/risk_plan.html
tw,2317,鴻海,inventory_holding,Watch only,251.0,2026-06-30,"0%; inventory-holding context only, no model position opened",0.0,20d_low distance 1.99%; 20D low 246 (input only; PM must verify),"20D avg trade value 21,586,411,961.55; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期有買點但同時受 PEI partial 與盤中資料限制約束，暫不追高。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：本輪無數值停損門檻，需後續補跑。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-01-inventory/companies/tw-2317/risk_plan.html
tw,2324,仁寶,inventory_holding,Watch only,35.3,2026-06-30,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 3.54%; 20D low 34.05 (input only; PM must verify),"20D avg trade value 4,810,070,812.7; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、權重集中或成本下方弱勢仍在；PEI 仍為 partial，先以風險收斂優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：本輪無數值停損門檻，需後續補跑。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-01-inventory/companies/tw-2324/risk_plan.html
tw,2330,台積電,inventory_holding,Watch only,2410.0,2026-06-30,0%; watch only until thesis and risk evidence improve,0.0,"20d_low distance 8.3%; 20D low 2,210 (input only; PM must verify)","20D avg trade value 97,965,058,043.5; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、權重集中或成本下方弱勢仍在；PEI 仍為 partial，先以風險收斂優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：本輪無數值停損門檻，需後續補跑。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-01-inventory/companies/tw-2330/risk_plan.html
tw,2337,旺宏,inventory_holding,Watch only,155.5,2026-06-30,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 14.79%; 20D low 132.5 (input only; PM must verify),"20D avg trade value 15,241,359,771.5; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近期賣點、權重集中或成本下方弱勢仍在；PEI 仍為 partial，先以風險收斂優先。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：本輪無數值停損門檻，需後續補跑。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-01-inventory/companies/tw-2337/risk_plan.html
tw,2344,華邦電,inventory_holding,Wait for trigger,207.5,2026-06-30,0% pre-trigger; reassess after trigger and evidence review,0.0,20d_low distance 29.64%; 20D low 146 (input only; PM must verify),"20D avg trade value 47,797,825,965.7; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近一週未見明確買賣觸發或資料不足，等待正式收盤 K 與 PEI 證據補齊。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：本輪無數值停損門檻，需後續補跑。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-01-inventory/companies/tw-2344/risk_plan.html
tw,2408,南亞科,inventory_holding,Wait for trigger,452.5,2026-06-30,0% pre-trigger; reassess after trigger and evidence review,0.0,20d_low distance 28.4%; 20D low 324 (input only; PM must verify),"20D avg trade value 51,435,231,414.65; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近一週未見明確買賣觸發或資料不足，等待正式收盤 K 與 PEI 證據補齊。,PEI：官方營收、毛利、估值或 thesis 證據轉弱需重估；APEX：本輪無數值停損門檻，需後續補跑。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-07-01-inventory/companies/tw-2408/risk_plan.html
