market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,key_missing_evidence,tearsheet,initiation,risk_plan
us,ABBV,AbbVie Inc. Common Stock,buy_now,Watch only,230.00999450683594,USD,2026-06-22 market close America/New_York,partial,not_run,"latest SEC filings / 10-K / 10-Q and earnings call evidence not reviewed in this scoped K-line PEI pass; valuation and peer multiple support not run; sell-side consensus, ownership, short interest, and positioning context missing; business quality, balance sheet, segment, and catalyst underwriting not complete",reports/public-equity-batch/2026-06-22-us-kline/companies/us-ABBV/tearsheet.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-ABBV/initiation.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-ABBV/risk_plan.html
us,AEP,American Electric Power Company,buy_now,Watch only,130.3000030517578,USD,2026-06-22 market close America/New_York,partial,not_run,"latest SEC filings / 10-K / 10-Q and earnings call evidence not reviewed in this scoped K-line PEI pass; valuation and peer multiple support not run; sell-side consensus, ownership, short interest, and positioning context missing; business quality, balance sheet, segment, and catalyst underwriting not complete",reports/public-equity-batch/2026-06-22-us-kline/companies/us-AEP/tearsheet.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-AEP/initiation.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-AEP/risk_plan.html
us,AMGN,Amgen Inc. - Common Stock,buy_now,Watch only,344.7200012207031,USD,2026-06-22 market close America/New_York,partial,not_run,"latest SEC filings / 10-K / 10-Q and earnings call evidence not reviewed in this scoped K-line PEI pass; valuation and peer multiple support not run; sell-side consensus, ownership, short interest, and positioning context missing; business quality, balance sheet, segment, and catalyst underwriting not complete",reports/public-equity-batch/2026-06-22-us-kline/companies/us-AMGN/tearsheet.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-AMGN/initiation.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-AMGN/risk_plan.html
us,CNC,Centene Corporation Common Stock,buy_now,Watch only,63.68000030517578,USD,2026-06-22 market close America/New_York,partial,not_run,"latest SEC filings / 10-K / 10-Q and earnings call evidence not reviewed in this scoped K-line PEI pass; valuation and peer multiple support not run; sell-side consensus, ownership, short interest, and positioning context missing; business quality, balance sheet, segment, and catalyst underwriting not complete",reports/public-equity-batch/2026-06-22-us-kline/companies/us-CNC/tearsheet.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-CNC/initiation.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-CNC/risk_plan.html
us,CWAN,Clearwater Analytics Holdings,buy_now,Watch only,24.530000686645508,USD,2026-06-22 market close America/New_York,partial,not_run,"latest SEC filings / 10-K / 10-Q and earnings call evidence not reviewed in this scoped K-line PEI pass; valuation and peer multiple support not run; sell-side consensus, ownership, short interest, and positioning context missing; business quality, balance sheet, segment, and catalyst underwriting not complete",reports/public-equity-batch/2026-06-22-us-kline/companies/us-CWAN/tearsheet.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-CWAN/initiation.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-CWAN/risk_plan.html
us,EA,Electronic Arts Inc. - Common Stock,buy_now,Watch only,202.97000122070312,USD,2026-06-22 market close America/New_York,partial,not_run,"latest SEC filings / 10-K / 10-Q and earnings call evidence not reviewed in this scoped K-line PEI pass; valuation and peer multiple support not run; sell-side consensus, ownership, short interest, and positioning context missing; business quality, balance sheet, segment, and catalyst underwriting not complete",reports/public-equity-batch/2026-06-22-us-kline/companies/us-EA/tearsheet.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-EA/initiation.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-EA/risk_plan.html
us,KMI,Kinder Morgan,buy_now,Watch only,32.25,USD,2026-06-22 market close America/New_York,partial,not_run,"latest SEC filings / 10-K / 10-Q and earnings call evidence not reviewed in this scoped K-line PEI pass; valuation and peer multiple support not run; sell-side consensus, ownership, short interest, and positioning context missing; business quality, balance sheet, segment, and catalyst underwriting not complete",reports/public-equity-batch/2026-06-22-us-kline/companies/us-KMI/tearsheet.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-KMI/initiation.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-KMI/risk_plan.html
us,NOK,Nokia Corporation Sponsored American Depositary Shares,buy_now,Watch only,14.430000305175781,USD,2026-06-22 market close America/New_York,partial,not_run,"latest SEC filings / 10-K / 10-Q and earnings call evidence not reviewed in this scoped K-line PEI pass; valuation and peer multiple support not run; sell-side consensus, ownership, short interest, and positioning context missing; business quality, balance sheet, segment, and catalyst underwriting not complete",reports/public-equity-batch/2026-06-22-us-kline/companies/us-NOK/tearsheet.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-NOK/initiation.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-NOK/risk_plan.html
us,NVO,Novo Nordisk A,buy_now,Watch only,45.880001068115234,USD,2026-06-22 market close America/New_York,partial,not_run,"latest SEC filings / 10-K / 10-Q and earnings call evidence not reviewed in this scoped K-line PEI pass; valuation and peer multiple support not run; sell-side consensus, ownership, short interest, and positioning context missing; business quality, balance sheet, segment, and catalyst underwriting not complete",reports/public-equity-batch/2026-06-22-us-kline/companies/us-NVO/tearsheet.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-NVO/initiation.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-NVO/risk_plan.html
us,PLD,Prologis,buy_now,Watch only,143.8300018310547,USD,2026-06-22 market close America/New_York,partial,not_run,"latest SEC filings / 10-K / 10-Q and earnings call evidence not reviewed in this scoped K-line PEI pass; valuation and peer multiple support not run; sell-side consensus, ownership, short interest, and positioning context missing; business quality, balance sheet, segment, and catalyst underwriting not complete",reports/public-equity-batch/2026-06-22-us-kline/companies/us-PLD/tearsheet.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-PLD/initiation.html,reports/public-equity-batch/2026-06-22-us-kline/companies/us-PLD/risk_plan.html
