market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,key_missing_evidence,summary,tearsheet,initiation,risk_plan
us,ASML,ASML Holding N.V. - New York Registry Shares,buy_now,Watch only,1841.1800537109375,USD,2026-06-25 16:00:00 America/New_York,complete,not_run,SEC company tickers 未命中或 SEC_USER_AGENT 未設定; 未完成 SEC/公司 IR 一手 filings 驗證; 未完成共識預估、估值模型與目標價敏感度; 未完成最新法說會或管理層逐字稿查核; 未完成流動性容量、部位上限與下檔風險量化; 缺少公司級官方營收、訂單、財報或法說支撐; 近 7 日公開新聞熱度未命中或未抓取,reports/public-equity-batch/2026-06-25-us-kline/companies/us-ASML/summary.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-ASML/tearsheet.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-ASML/initiation.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-ASML/risk_plan.html
us,BB,BlackBerry Limited Common Stock,buy_now,Not decision-ready,10.34000015258789,USD,2026-06-25 16:00:00 America/New_York,complete,not_run,SEC company tickers 未命中或 SEC_USER_AGENT 未設定; 未完成 SEC/公司 IR 一手 filings 驗證; 未完成共識預估、估值模型與目標價敏感度; 未完成最新法說會或管理層逐字稿查核; 未完成流動性容量、部位上限與下檔風險量化; 缺少公司級官方營收、訂單、財報或法說支撐; 近 7 日公開新聞熱度未命中或未抓取,reports/public-equity-batch/2026-06-25-us-kline/companies/us-BB/summary.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-BB/tearsheet.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-BB/initiation.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-BB/risk_plan.html
us,CIEN,Ciena Corporation Common Stock,buy_now,Watch only,484.69000244140625,USD,2026-06-25 16:00:00 America/New_York,complete,not_run,SEC company tickers 未命中或 SEC_USER_AGENT 未設定; 未完成 SEC/公司 IR 一手 filings 驗證; 未完成共識預估、估值模型與目標價敏感度; 未完成最新法說會或管理層逐字稿查核; 未完成流動性容量、部位上限與下檔風險量化; 缺少公司級官方營收、訂單、財報或法說支撐; 近 7 日公開新聞熱度未命中或未抓取,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CIEN/summary.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CIEN/tearsheet.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CIEN/initiation.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CIEN/risk_plan.html
us,CSX,CSX Corporation - Common Stock,buy_now,Watch only,47.439998626708984,USD,2026-06-25 16:00:00 America/New_York,complete,not_run,SEC company tickers 未命中或 SEC_USER_AGENT 未設定; 未完成 SEC/公司 IR 一手 filings 驗證; 未完成共識預估、估值模型與目標價敏感度; 未完成最新法說會或管理層逐字稿查核; 未完成流動性容量、部位上限與下檔風險量化; 缺少公司級官方營收、訂單、財報或法說支撐; 近 7 日公開新聞熱度未命中或未抓取,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CSX/summary.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CSX/tearsheet.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CSX/initiation.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CSX/risk_plan.html
us,MDLN,Medline Inc. - Class A common stock,buy_now,Watch only,37.77000045776367,USD,2026-06-25 16:00:00 America/New_York,complete,not_run,SEC company tickers 未命中或 SEC_USER_AGENT 未設定; 未完成 SEC/公司 IR 一手 filings 驗證; 未完成共識預估、估值模型與目標價敏感度; 未完成最新法說會或管理層逐字稿查核; 未完成流動性容量、部位上限與下檔風險量化; 缺少公司級官方營收、訂單、財報或法說支撐; 近 7 日公開新聞熱度未命中或未抓取,reports/public-equity-batch/2026-06-25-us-kline/companies/us-MDLN/summary.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-MDLN/tearsheet.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-MDLN/initiation.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-MDLN/risk_plan.html
us,ON,ON Semiconductor Corporation - Common Stock,buy_now,Watch only,118.73999786376953,USD,2026-06-25 16:00:00 America/New_York,complete,not_run,SEC company tickers 未命中或 SEC_USER_AGENT 未設定; 未完成 SEC/公司 IR 一手 filings 驗證; 未完成共識預估、估值模型與目標價敏感度; 未完成最新法說會或管理層逐字稿查核; 未完成流動性容量、部位上限與下檔風險量化; 缺少公司級官方營收、訂單、財報或法說支撐; 近 7 日公開新聞熱度未命中或未抓取,reports/public-equity-batch/2026-06-25-us-kline/companies/us-ON/summary.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-ON/tearsheet.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-ON/initiation.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-ON/risk_plan.html
us,PODD,Insulet Corporation - Common Stock,buy_now,Watch only,153.82000732421875,USD,2026-06-25 16:00:00 America/New_York,complete,not_run,SEC company tickers 未命中或 SEC_USER_AGENT 未設定; 未完成 SEC/公司 IR 一手 filings 驗證; 未完成共識預估、估值模型與目標價敏感度; 未完成最新法說會或管理層逐字稿查核; 未完成流動性容量、部位上限與下檔風險量化; 缺少公司級官方營收、訂單、財報或法說支撐; 近 7 日公開新聞熱度未命中或未抓取,reports/public-equity-batch/2026-06-25-us-kline/companies/us-PODD/summary.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-PODD/tearsheet.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-PODD/initiation.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-PODD/risk_plan.html
us,STM,STMicroelectronics N.V. Common Stock,buy_now,Watch only,74.87999725341797,USD,2026-06-25 16:00:00 America/New_York,complete,not_run,SEC company tickers 未命中或 SEC_USER_AGENT 未設定; 未完成 SEC/公司 IR 一手 filings 驗證; 未完成共識預估、估值模型與目標價敏感度; 未完成最新法說會或管理層逐字稿查核; 未完成流動性容量、部位上限與下檔風險量化; 缺少公司級官方營收、訂單、財報或法說支撐; 近 7 日公開新聞熱度未命中或未抓取,reports/public-equity-batch/2026-06-25-us-kline/companies/us-STM/summary.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-STM/tearsheet.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-STM/initiation.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-STM/risk_plan.html
us,UNP,Union Pacific Corporation Common Stock,buy_now,Watch only,267.7300109863281,USD,2026-06-25 16:00:00 America/New_York,complete,not_run,SEC company tickers 未命中或 SEC_USER_AGENT 未設定; 未完成 SEC/公司 IR 一手 filings 驗證; 未完成共識預估、估值模型與目標價敏感度; 未完成最新法說會或管理層逐字稿查核; 未完成流動性容量、部位上限與下檔風險量化; 缺少公司級官方營收、訂單、財報或法說支撐; 近 7 日公開新聞熱度未命中或未抓取,reports/public-equity-batch/2026-06-25-us-kline/companies/us-UNP/summary.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-UNP/tearsheet.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-UNP/initiation.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-UNP/risk_plan.html
us,UPS,United Parcel Service,buy_now,Watch only,109.30999755859375,USD,2026-06-25 16:00:00 America/New_York,complete,not_run,SEC company tickers 未命中或 SEC_USER_AGENT 未設定; 未完成 SEC/公司 IR 一手 filings 驗證; 未完成共識預估、估值模型與目標價敏感度; 未完成最新法說會或管理層逐字稿查核; 未完成流動性容量、部位上限與下檔風險量化; 缺少公司級官方營收、訂單、財報或法說支撐; 近 7 日公開新聞熱度未命中或未抓取,reports/public-equity-batch/2026-06-25-us-kline/companies/us-UPS/summary.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-UPS/tearsheet.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-UPS/initiation.html,reports/public-equity-batch/2026-06-25-us-kline/companies/us-UPS/risk_plan.html
