market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,1477,聚陽,buy_now,Watch only,219.0,2026-06-30,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 4.11%; 20D low 210 (input only; PM must verify),"20D avg trade value 726,385,275.55; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-01-tw-kline/companies/tw-1477/risk_plan.html
tw,3030,德律,buy_now,Watch only,327.5,2026-06-30,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 10.53%; 20D low 293 (input only; PM must verify),"20D avg trade value 918,474,098.05; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-01-tw-kline/companies/tw-3030/risk_plan.html
tw,3042,晶技,buy_now,Watch only,187.5,2026-06-30,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 3.73%; 20D low 180.5 (input only; PM must verify),"20D avg trade value 7,695,446,179.1; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-01-tw-kline/companies/tw-3042/risk_plan.html
tw,6669,緯穎,buy_now,Watch only,4635.0,2026-06-30,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,"20d_low distance 8.31%; 20D low 4,250 (input only; PM must verify)","20D avg trade value 9,147,768,605.5; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-01-tw-kline/companies/tw-6669/risk_plan.html
tw,6789,采鈺,buy_now,Watch only,513.0,2026-06-30,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 14.62%; 20D low 438 (input only; PM must verify),"20D avg trade value 1,483,930,866.85; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-01-tw-kline/companies/tw-6789/risk_plan.html
tw,1102,亞泥,wait_entry,Wait for trigger,35.0,2026-06-30,0% pre-trigger; reassess only after trigger and full PEI evidence,0.0,20d_low distance 4.29%; 20D low 33.5 (input only; PM must verify),"20D avg trade value 704,939,953.05; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-01-tw-kline/companies/tw-1102/risk_plan.html
tw,1514,亞力,wait_entry,Wait for trigger,123.0,2026-06-30,0% pre-trigger; reassess only after trigger and full PEI evidence,0.0,20d_low distance 7.32%; 20D low 114 (input only; PM must verify),"20D avg trade value 1,015,479,964.55; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-01-tw-kline/companies/tw-1514/risk_plan.html
tw,1563,巧新,wait_entry,Wait for trigger,62.1,2026-06-30,0% pre-trigger; reassess only after trigger and full PEI evidence,0.0,20d_low distance 8.21%; 20D low 57 (input only; PM must verify),"20D avg trade value 152,249,761.15; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-01-tw-kline/companies/tw-1563/risk_plan.html
tw,1712,興農,wait_entry,Wait for trigger,39.2,2026-06-30,0% pre-trigger; reassess only after trigger and full PEI evidence,0.0,20d_low distance 1.91%; 20D low 38.45 (input only; PM must verify),"20D avg trade value 31,622,297.05; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-01-tw-kline/companies/tw-1712/risk_plan.html
tw,1721,三晃,wait_entry,Wait for trigger,23.3,2026-06-30,0% pre-trigger; reassess only after trigger and full PEI evidence,0.0,20d_low distance 5.79%; 20D low 21.95 (input only; PM must verify),"20D avg trade value 55,141,771.85; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-01-tw-kline/companies/tw-1721/risk_plan.html
