market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,2312,金寶,buy_now,Wait for trigger,38.0,2026-06-24,0% pre-trigger; reassess after trigger and evidence review,0.0075,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",Trim only if independent evidence confirms deterioration,Exit/watch-only if thesis evidence or price trigger fails,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25/companies/tw-2312/risk_plan.html
tw,2317,鴻海,buy_now,Wait for trigger,256.0,2026-06-24,0% pre-trigger; reassess after trigger and evidence review,0.0075,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",Trim only if independent evidence confirms deterioration,Exit/watch-only if thesis evidence or price trigger fails,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25/companies/tw-2317/risk_plan.html
tw,2324,仁寶,buy_now,Wait for trigger,37.900001525878906,2026-06-24,0% pre-trigger; reassess after trigger and evidence review,0.0075,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",Trim only if independent evidence confirms deterioration,Exit/watch-only if thesis evidence or price trigger fails,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25/companies/tw-2324/risk_plan.html
tw,2327,國巨,buy_now,Wait for trigger,1050.0,2026-06-24,0% pre-trigger; reassess after trigger and evidence review,0.0075,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",Trim only if independent evidence confirms deterioration,Exit/watch-only if thesis evidence or price trigger fails,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25/companies/tw-2327/risk_plan.html
tw,2330,台積電,buy_now,Not decision-ready,2390.0,2026-06-24,0% pre-trigger; reassess after trigger and evidence review,0.0075,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",Trim only if independent evidence confirms deterioration,Exit/watch-only if thesis evidence or price trigger fails,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25/companies/tw-2330/risk_plan.html
tw,2337,旺宏,buy_now,Wait for trigger,172.0,2026-06-24,0% pre-trigger; reassess after trigger and evidence review,0.0075,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",Trim only if independent evidence confirms deterioration,Exit/watch-only if thesis evidence or price trigger fails,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25/companies/tw-2337/risk_plan.html
tw,2344,華邦電,buy_now,Wait for trigger,205.0,2026-06-24,0% pre-trigger; reassess after trigger and evidence review,0.0075,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",Trim only if independent evidence confirms deterioration,Exit/watch-only if thesis evidence or price trigger fails,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25/companies/tw-2344/risk_plan.html
tw,2374,佳能,buy_now,Wait for trigger,75.5,2026-06-24,0% pre-trigger; reassess after trigger and evidence review,0.0075,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",Trim only if independent evidence confirms deterioration,Exit/watch-only if thesis evidence or price trigger fails,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25/companies/tw-2374/risk_plan.html
tw,2382,廣達,buy_now,Wait for trigger,372.0,2026-06-24,0% pre-trigger; reassess after trigger and evidence review,0.0075,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",Trim only if independent evidence confirms deterioration,Exit/watch-only if thesis evidence or price trigger fails,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25/companies/tw-2382/risk_plan.html
tw,2383,台光電,buy_now,Wait for trigger,5560.0,2026-06-24,0% pre-trigger; reassess after trigger and evidence review,0.0075,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",Trim only if independent evidence confirms deterioration,Exit/watch-only if thesis evidence or price trigger fails,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-25/companies/tw-2383/risk_plan.html
