market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,2406,國碩,buy_now,Wait for trigger,35.5,TWD,2026-06-25,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=低; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2406/summary.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2406/tearsheet.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2406/initiation.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2406/risk_plan.html
tw,3037,欣興,buy_now,Not decision-ready,1020.0,TWD,2026-06-25,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 產業 thesis Gate=炒作或擁擠交易風險偏高；炒作風險=高; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-3037/summary.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-3037/tearsheet.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-3037/initiation.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-3037/risk_plan.html
tw,5269,祥碩,buy_now,Wait for trigger,1435.0,TWD,2026-06-25,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=低; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-5269/summary.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-5269/tearsheet.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-5269/initiation.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-5269/risk_plan.html
tw,1101,台泥,wait_entry,Wait for trigger,24.6,TWD,2026-06-25,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-1101/summary.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-1101/tearsheet.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-1101/initiation.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-1101/risk_plan.html
tw,1477,聚陽,wait_entry,Wait for trigger,221.0,TWD,2026-06-25,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=中; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少明確後續產業 KPI; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-1477/summary.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-1477/tearsheet.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-1477/initiation.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-1477/risk_plan.html
tw,1710,東聯,wait_entry,Wait for trigger,13.95,TWD,2026-06-25,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-1710/summary.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-1710/tearsheet.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-1710/initiation.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-1710/risk_plan.html
tw,2356,英業達,wait_entry,Wait for trigger,66.7,TWD,2026-06-25,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2356/summary.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2356/tearsheet.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2356/initiation.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2356/risk_plan.html
tw,2374,佳能,wait_entry,Wait for trigger,79.4,TWD,2026-06-25,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=中; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少明確後續產業 KPI; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2374/summary.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2374/tearsheet.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2374/initiation.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2374/risk_plan.html
tw,2540,愛山林,wait_entry,Wait for trigger,54.2,TWD,2026-06-25,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2540/summary.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2540/tearsheet.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2540/initiation.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2540/risk_plan.html
tw,2633,台灣高鐵,wait_entry,Wait for trigger,26.25,TWD,2026-06-25,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2633/summary.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2633/tearsheet.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2633/initiation.html,reports/public-equity-batch/2026-06-25-tw-kline/companies/tw-2633/risk_plan.html
