market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,1514,亞力,buy_now,Watch only,121.5,2026-07-02,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 6.17%; 20D low 114 (input only; PM must verify),"20D avg trade value 908,389,278.1; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-03/companies/tw-1514/risk_plan.html
tw,2454,聯發科,buy_now,Watch only,4345.0,2026-07-02,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,"20d_low distance 11.97%; 20D low 3,825 (input only; PM must verify)","20D avg trade value 57,734,397,487.95; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-03/companies/tw-2454/risk_plan.html
tw,2464,盟立,buy_now,Watch only,183.5,2026-07-02,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 26.43%; 20D low 135 (input only; PM must verify),"20D avg trade value 2,768,292,556.35; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-03/companies/tw-2464/risk_plan.html
tw,3042,晶技,buy_now,Watch only,226.5,2026-07-02,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 20.31%; 20D low 180.5 (input only; PM must verify),"20D avg trade value 7,965,108,835.45; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-03/companies/tw-3042/risk_plan.html
tw,3675,德微,buy_now,Watch only,407.0,2026-07-02,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 29.98%; 20D low 285 (input only; PM must verify),"20D avg trade value 805,801,921.67; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-03/companies/tw-3675/risk_plan.html
tw,6139,亞翔,buy_now,Watch only,939.0,2026-07-02,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 24.6%; 20D low 708 (input only; PM must verify),"20D avg trade value 5,301,300,644.25; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-03/companies/tw-6139/risk_plan.html
tw,6196,帆宣,buy_now,Watch only,588.0,2026-07-02,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 22.28%; 20D low 457 (input only; PM must verify),"20D avg trade value 1,246,997,161.15; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-03/companies/tw-6196/risk_plan.html
tw,6409,旭隼,buy_now,Watch only,1185.0,2026-07-02,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 34.43%; 20D low 777 (input only; PM must verify),"20D avg trade value 1,737,647,384.9; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-03/companies/tw-6409/risk_plan.html
tw,6669,緯穎,buy_now,Watch only,5200.0,2026-07-02,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,"20d_low distance 18.27%; 20D low 4,250 (input only; PM must verify)","20D avg trade value 9,382,811,719.75; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-03/companies/tw-6669/risk_plan.html
us,UBER,Uber,buy_now,Not decision-ready,74.43,2026-07-02T20:00:03Z,0%; not decision-ready,0.0075,20d_low distance 9.73%; 20D low 67.19 (input only; PM must verify),"20D avg trade value 1,677,947,244.75; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-03/companies/us-UBER/risk_plan.html
