market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
us,AAPL,Apple Inc,inventory_holding,Watch only,277.61,2026-06-26,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",價格跌破 APEX break，且 PEI 官方證據未補齊；先降低價格破位與回撤風險。,PEI：AI 應用無法帶動需求或估值持續高於可驗證成長。；APEX：warn 295.62；break 293.97；跌破 break 或低於 warn 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-26-inventory-us/companies/us-AAPL/risk_plan.html
us,ABT,亞培,inventory_holding,Watch only,93.65,2026-06-26,"0%; inventory-holding context only, no model position opened",0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",未見明確 PEI thesis break，但證據未達加碼標準；僅管理既有部位。,PEI：醫材/診斷成長或 margin 無法支撐估值。；APEX：warn 88.73；break 87.07；跌破 break 或低於 warn 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-26-inventory-us/companies/us-ABT/risk_plan.html
us,AXTI,AXT Inc,inventory_holding,Watch only,65.84,2026-06-26,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",價格跌破 APEX break，且 PEI 官方證據未補齊；先降低價格破位與回撤風險。,PEI：營收/毛利與訂單無法支撐半導體材料週期復甦。；APEX：warn 77.91；break 67.01；跌破 break 或低於 warn 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-26-inventory-us/companies/us-AXTI/risk_plan.html
us,BRK.B,Berkshire Hathaway I,inventory_holding,Watch only,489.9,2026-06-26,"0%; inventory-holding context only, no model position opened",0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",未見明確 PEI thesis break，但證據未達加碼標準；僅管理既有部位。,PEI：承保利潤、投資組合或資本配置惡化超出防禦持股容忍度。；APEX：warn 485.77；break 484.51；跌破 break 或低於 warn 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-26-inventory-us/companies/us-BRK.B/risk_plan.html
us,CRCL,Circle Internet Group,inventory_holding,Not decision-ready,67.8,2026-06-26,0%; not decision-ready for model portfolio,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",PEI 仍為 Not decision-ready / exit 風控，題材與估值證據不足。,PEI：官方收益、流通量、儲備收益或監管證據無法支撐估值。；APEX：warn 76.84；break 72；跌破 break 或低於 warn 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-26-inventory-us/companies/us-CRCL/risk_plan.html
us,DASH,DoorDash Inc,inventory_holding,Watch only,175.2,2026-06-26,"0%; inventory-holding context only, no model position opened",0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",未見明確 PEI thesis break，但證據未達加碼標準；僅管理既有部位。,PEI：訂單增速、take rate 或 margin 無法支撐估值。；APEX：warn 164.43；break 151.95；跌破 break 或低於 warn 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-26-inventory-us/companies/us-DASH/risk_plan.html
us,DHR,Danaher Corp,inventory_holding,Wait for trigger,191.01,2026-06-26,0% pre-trigger; reassess after trigger and evidence review,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",新納入或缺完整 APEX/PEI 官方證據，先觀察等財報/觸發確認，不加碼。,PEI：訂單、消耗品需求或 margin 復甦不如預期。；APEX：warn 185.97；break 183.46；跌破 break 或低於 warn 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-26-inventory-us/companies/us-DHR/risk_plan.html
us,GLW,康寧公司,inventory_holding,Not decision-ready,220.5,2026-06-26,"0%; inventory-holding context only, no model position opened",0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",產業 thesis 顯示 hype_or_crowded/high，雖未破價位，仍只續抱不加碼。,PEI：良率、認證或客戶導入無法支持題材估值。；APEX：warn 181.2；break 175.4；跌破 break 或低於 warn 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-26-inventory-us/companies/us-GLW/risk_plan.html
us,GOOGL,Alphabet 公司,inventory_holding,Watch only,342.5,2026-06-26,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",價格跌破 APEX break，且 PEI 官方證據未補齊；先降低價格破位與回撤風險。,PEI：AI capex 升高但收入/利潤轉換率未改善，或搜尋/模型競爭力惡化。；APEX：warn 358.67；break 352；跌破 break 或低於 warn 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-26-inventory-us/companies/us-GOOGL/risk_plan.html
us,IBM,國際商業機器公司,inventory_holding,Watch only,258.51,2026-06-26,0%; watch only until thesis and risk evidence improve,0.0,not independently verified in inventory-scope batch,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",近一週有賣點觸發，反彈不追，先控風險。,PEI：自由現金流、軟體成長或 AI 需求無法支持估值。；APEX：warn 262.96；break 243.68；跌破 break 或低於 warn 後無法收復則提高風控。,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-06-26-inventory-us/companies/us-IBM/risk_plan.html
