market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,1215,卜蜂,inventory_holding,Watch only,108.5,2026-08-28,"0%; inventory-holding context only, no model position opened",0.0,20d_low distance 7.37%; 20D low 100.5 (input only; PM must verify),"20D avg trade value 78,378,164.85; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",長期股息配置規則優先，技術弱勢本身不構成短線賣出,股利覆蓋、FCF 或成本轉嫁顯著惡化，或跌破 100.80 時重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-31-inventory/companies/tw-1215/risk_plan.html
tw,1708,東鹼,inventory_holding,Watch only,51.0,2026-08-28,"0%; inventory-holding context only, no model position opened",0.0,20d_low distance 7.55%; 20D low 47.15 (input only; PM must verify),"20D avg trade value 158,989,784.65; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",營運改善支持保留，訊號反覆限制加碼,SOP 價差、月營收、FCF、存貨或船舶利用率惡化，或跌破 47.52 時重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-31-inventory/companies/tw-1708/risk_plan.html
tw,2308,台達電,inventory_holding,Watch only,1830.0,2026-08-28,"0%; inventory-holding context only, no model position opened",0.0,"20d_low distance 16.94%; 20D low 1,520 (input only; PM must verify)","20D avg trade value 21,389,658,559.2; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",基本面支持保留，價格仍在 20K 警戒區，不追高,"基礎設施營收、毛利、存貨與 FCF 惡化時下調；跌破 1,804.50 提高警戒",0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-31-inventory/companies/tw-2308/risk_plan.html
tw,2327,國巨*,inventory_holding,Watch only,597.0,2026-08-28,"0%; inventory-holding context only, no model position opened",0.0,20d_low distance 13.74%; 20D low 515 (input only; PM must verify),"20D avg trade value 28,281,792,649.95; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",強 V 轉與買點尚未修復 20K 結構，續抱但不追爆量反彈,毛利、FCF 或併購負債惡化時下調；站回 634.60 才解除警戒,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-31-inventory/companies/tw-2327/risk_plan.html
tw,2330,台積電,inventory_holding,Watch only,2420.0,2026-08-28,"0%; inventory-holding context only, no model position opened",0.0,"20d_low distance 4.55%; 20D low 2,310 (input only; PM must verify)","20D avg trade value 51,429,237,052.95; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",趨勢偏多，估值與 TSM 重複曝險限制新增風險,"2nm、先進封裝、毛利、FCF 或客戶 CapEx 轉弱，或跌破 2,200.50 時重評",0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-31-inventory/companies/tw-2330/risk_plan.html
tw,2354,鴻準,inventory_holding,Wait for trigger,63.9,2026-08-28,0% pre-trigger; reassess after trigger and evidence review,0.0,20d_low distance 13.62%; 20D low 55.2 (input only; PM must verify),"20D avg trade value 983,436,816.7; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",技術偏多但財報證據不足，不升級加碼,本業、散熱／機構件毛利、存貨、其他應收款與 FCF 改善後重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-31-inventory/companies/tw-2354/risk_plan.html
tw,2385,群光,inventory_holding,Wait for trigger,108.0,2026-08-28,0% pre-trigger; reassess after trigger and evidence review,0.0,20d_low distance 6.48%; 20D low 101 (input only; PM must verify),"20D avg trade value 305,290,687.65; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",技術修復但財報證據不足，維持觀察,Q3 調價、毛利、存貨與 OCF 改善，且站穩 EMA50 後重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-31-inventory/companies/tw-2385/risk_plan.html
tw,2454,聯發科,inventory_holding,Watch only,3985.0,2026-08-28,"0%; inventory-holding context only, no model position opened",0.0,"20d_low distance 8.28%; 20D low 3,655 (input only; PM must verify)","20D avg trade value 33,145,851,713.45; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",趨勢改善但估值高且仍在 20K 警戒區，續抱不加碼,"ASIC 量產、毛利、庫存與現金轉換未改善時下調；跌破 3,960 提高警戒",0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-31-inventory/companies/tw-2454/risk_plan.html
tw,2884,玉山金,inventory_holding,Watch only,38.75,2026-08-28,"0%; inventory-holding context only, no model position opened",0.0,20d_low distance 6.32%; 20D low 36.3 (input only; PM must verify),"20D avg trade value 1,400,480,441.5; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",基本面支持保留，接近區間高檔不加碼,合併後 ROE/BVPS、資本適足、NIM 或三商壽 CSM 惡化，或跌破 35.46 時重評,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-31-inventory/companies/tw-2884/risk_plan.html
tw,6695,芯鼎,inventory_holding,Watch only,49.2,2026-08-28,0%; watch only until thesis and risk evidence improve,0.0,20d_low distance 6.81%; 20D low 45.85 (input only; PM must verify),"20D avg trade value 20,457,506.45; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, price context, liquidity, and risk/reward",觀察評級、弱修復與單一持股極端集中支持降低風險,量產收入與現金流改善、站回 49.88 且集中度顯著下降後重評；跌破 47.25 提高警戒,0 units at risk because inventory-scope model size is 0%,Daily price and weekly fundamentals while held in inventory watch universe,reports/public-equity-batch/2026-08-31-inventory/companies/tw-6695/risk_plan.html
