symbol,company,result_status,handoff_statuses,required_objects,next_workflows,packet_json,expected_result_path,template_md,validate_results_report_json
2002,中鋼,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-2002.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-2002.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-2002.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
2233,宇隆,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-2233.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-2233.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-2233.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
2360,致茂,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-2360.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-2360.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-2360.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
2368,金像電,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-2368.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-2368.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-2368.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
2426,鼎元,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-2426.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-2426.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-2426.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
2605,新興,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-2605.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-2605.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-2605.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
2615,萬海,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-2615.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-2615.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-2615.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
2855,統一證,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-2855.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-2855.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-2855.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
2883,凱基金,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-2883.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-2883.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-2883.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
3005,神基,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-3005.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-3005.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-3005.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
3044,健鼎,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-3044.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-3044.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-3044.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
3167,大量,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-3167.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-3167.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-3167.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
3450,聯鈞,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-3450.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-3450.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-3450.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
3702,大聯大,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-3702.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-3702.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-3702.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
4904,遠傳,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-4904.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-4904.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-4904.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
8112,至上,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-8112.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-8112.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-8112.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
8131,福懋科,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-8131.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-8131.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-8131.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
1232,大統益,unknown,"{""quote"": ""resolved"", ""official_evidence"": ""input_ready"", ""valuation"": ""input_ready"", ""risk"": ""input_ready""}",research_underwrite; investment_horizon; valuation; risk_assessment,company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/input_packets/tw-1232.packet.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/tw-1232.result.json,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/result_templates/tw-1232.result.template.md,reports/public-equity-batch/2026-07-03-tw-kline/specialist_workorders/validate_results_report.json
