market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,risk_status,horizon_status,decision_ready,readiness_blockers,next_required_workflow,near_term_3m,base_12m,long_term_3y,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,0061,元大寶滬深,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-0061/summary.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-0061/tearsheet.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-0061/initiation.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-0061/risk_plan.html
tw,006207,復華滬深,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-006207/summary.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-006207/tearsheet.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-006207/initiation.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-006207/risk_plan.html
tw,00625K,富邦上証+R,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00625K/summary.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00625K/tearsheet.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00625K/initiation.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00625K/risk_plan.html
tw,00680L,元大美債20正2,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00680L/summary.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00680L/tearsheet.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00680L/initiation.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00680L/risk_plan.html
tw,00682U,期元大美元指數,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00682U/summary.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00682U/tearsheet.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00682U/initiation.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00682U/risk_plan.html
tw,00688L,國泰20年美債正2,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00688L/summary.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00688L/tearsheet.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00688L/initiation.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00688L/risk_plan.html
tw,00707R,期元大S&P日圓反1,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00707R/summary.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00707R/tearsheet.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00707R/initiation.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00707R/risk_plan.html
tw,00712,復華富時不動產,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00712/summary.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00712/tearsheet.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00712/initiation.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00712/risk_plan.html
tw,00949,復華日本龍頭,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00949/summary.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00949/tearsheet.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00949/initiation.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-00949/risk_plan.html
tw,1215,卜蜂,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-1215/summary.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-1215/tearsheet.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-1215/initiation.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-1215/risk_plan.html
tw,1538,正峰,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-1538/summary.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-1538/tearsheet.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-1538/initiation.html,reports/public-equity-batch/2026-07-06-1250-tw-intraday-kline/companies/tw-1538/risk_plan.html
