market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,1215,卜蜂,inventory_holding,Watch only,115.0,TWD,2026-06-24,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=低; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少明確後續產業 KPI; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1215/summary.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1215/tearsheet.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1215/initiation.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1215/risk_plan.html
tw,1216,統一,inventory_holding,Watch only,75.1,TWD,2026-06-24,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 健康檢查已標示風險控管動作，模型投組維持 0%; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=低; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少明確後續產業 KPI; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1216/summary.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1216/tearsheet.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1216/initiation.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1216/risk_plan.html
tw,1477,聚陽,inventory_holding,Watch only,217.0,TWD,2026-06-24,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=中; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少明確後續產業 KPI; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1477/summary.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1477/tearsheet.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1477/initiation.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1477/risk_plan.html
tw,1560,中砂,inventory_holding,Watch only,749.0,TWD,2026-06-24,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=中; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少明確後續產業 KPI; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1560/summary.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1560/tearsheet.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1560/initiation.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-1560/risk_plan.html
tw,2330,台積電,inventory_holding,Not decision-ready,2390.0,TWD,2026-06-24,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 產業 thesis Gate=炒作或擁擠交易風險偏高；炒作風險=高; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2330/summary.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2330/tearsheet.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2330/initiation.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2330/risk_plan.html
tw,2337,旺宏,inventory_holding,Watch only,172.0,TWD,2026-06-24,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=低; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2337/summary.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2337/tearsheet.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2337/initiation.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2337/risk_plan.html
tw,2408,南亞科,inventory_holding,Watch only,443.5,TWD,2026-06-24,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=中; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2408/summary.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2408/tearsheet.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2408/initiation.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2408/risk_plan.html
tw,2454,聯發科,inventory_holding,Watch only,4285.0,TWD,2026-06-24,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=低; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2454/summary.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2454/tearsheet.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2454/initiation.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2454/risk_plan.html
tw,2618,長榮航,inventory_holding,Watch only,44.0,TWD,2026-06-24,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 健康檢查已標示風險控管動作，模型投組維持 0%; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=低; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少明確後續產業 KPI; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2618/summary.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2618/tearsheet.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2618/initiation.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-2618/risk_plan.html
tw,3019,亞光,inventory_holding,Watch only,155.5,TWD,2026-06-24,partial,not_run,本 inventory-scope PEI 批次未逐檔執行完整官方 filings、法說、consensus、估值模型與流動性模型查核; 個人庫存僅用於定義研究宇宙；模型投組 sizing 未使用券商、股數或成本; 需以公司公告、交易所/SEC 文件與正式 PEI specialist workflow 補強後，才可升級為 decision-ready; 健康檢查已標示風險控管動作，模型投組維持 0%; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=低; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少明確後續產業 KPI; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-3019/summary.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-3019/tearsheet.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-3019/initiation.html,reports/public-equity-batch/2026-06-25-inventory-tw/companies/tw-3019/risk_plan.html
