market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,2303,聯電,buy_now,Watch only,155.0,2026-07-07,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 24.84%; 20D low 116.5 (input only; PM must verify),"20D avg trade value 41,092,323,142.3; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-08-tw-kline/companies/tw-2303/risk_plan.html
tw,2354,鴻準,buy_now,Watch only,56.9,2026-07-07,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 5.27%; 20D low 53.9 (input only; PM must verify),"20D avg trade value 410,708,061.15; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-08-tw-kline/companies/tw-2354/risk_plan.html
tw,2363,矽統,buy_now,Watch only,65.7,2026-07-07,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 18.42%; 20D low 53.6 (input only; PM must verify),"20D avg trade value 1,736,912,349.85; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-08-tw-kline/companies/tw-2363/risk_plan.html
tw,2388,威盛,buy_now,Watch only,69.5,2026-07-07,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 8.35%; 20D low 63.7 (input only; PM must verify),"20D avg trade value 634,652,425; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-08-tw-kline/companies/tw-2388/risk_plan.html
tw,2441,超豐,buy_now,Watch only,133.5,2026-07-07,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 13.11%; 20D low 116 (input only; PM must verify),"20D avg trade value 1,550,106,918.1; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-08-tw-kline/companies/tw-2441/risk_plan.html
tw,2609,陽明,buy_now,Watch only,51.1,2026-07-07,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 2.15%; 20D low 50 (input only; PM must verify),"20D avg trade value 1,417,458,046.7; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-08-tw-kline/companies/tw-2609/risk_plan.html
tw,2881,富邦金,buy_now,Watch only,123.0,2026-07-07,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 4.07%; 20D low 118 (input only; PM must verify),"20D avg trade value 4,999,184,044.6; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-08-tw-kline/companies/tw-2881/risk_plan.html
tw,3035,智原,buy_now,Watch only,199.0,2026-07-07,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 13.32%; 20D low 172.5 (input only; PM must verify),"20D avg trade value 2,299,236,745.25; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-08-tw-kline/companies/tw-3035/risk_plan.html
tw,3189,景碩,buy_now,Watch only,687.0,2026-07-07,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 13.54%; 20D low 594 (input only; PM must verify),"20D avg trade value 19,577,742,435.75; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-08-tw-kline/companies/tw-3189/risk_plan.html
tw,6202,盛群,buy_now,Watch only,64.8,2026-07-07,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 22.84%; 20D low 50 (input only; PM must verify),"20D avg trade value 643,760,785.95; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-07-08-tw-kline/companies/tw-6202/risk_plan.html
