market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,dcf_status,dcf_base_value,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,1717,長興,buy_now,Watch only,74.7,2026-06-22 00:00:00+08:00,0% until valuation and fundamental evidence are decision-ready; 5% single-name cap after clearance,0.75% conditional initial risk budget after valuation/fundamental clearance,numeric downside not source-backed; source report references signal-day low or short moving average where applicable,requires ADV/participation analysis before sizing; source-report turnover and Yahoo volume are included as preliminary liquidity context,not-decision-ready,not_computed_due_missing_inputs,no hedge recommended at screen stage; use size-down/no-position until valuation and trigger evidence improve,"add only after source-backed valuation, fundamentals, and technical confirmation are all upgraded",trim or keep at zero if price extends without volume/valuation support or DCF remains not-decision-ready,remove from active candidate list if technical trigger fails or missing valuation evidence cannot be resolved,no model capital at risk before decision-ready valuation; conditional risk budget follows StockLoop batch defaults,daily price/volume review until trigger resolves; refresh valuation evidence before any model allocation,reports/public-equity-batch/2026-06-22/companies/tw-1717/risk_plan.html
tw,2301,光寶科,buy_now,Watch only,231.5,2026-06-22 00:00:00+08:00,0% until valuation and fundamental evidence are decision-ready; 5% single-name cap after clearance,0.75% conditional initial risk budget after valuation/fundamental clearance,numeric downside not source-backed; source report references signal-day low or short moving average where applicable,requires ADV/participation analysis before sizing; source-report turnover and Yahoo volume are included as preliminary liquidity context,not-decision-ready,not_computed_due_missing_inputs,no hedge recommended at screen stage; use size-down/no-position until valuation and trigger evidence improve,"add only after source-backed valuation, fundamentals, and technical confirmation are all upgraded",trim or keep at zero if price extends without volume/valuation support or DCF remains not-decision-ready,remove from active candidate list if technical trigger fails or missing valuation evidence cannot be resolved,no model capital at risk before decision-ready valuation; conditional risk budget follows StockLoop batch defaults,daily price/volume review until trigger resolves; refresh valuation evidence before any model allocation,reports/public-equity-batch/2026-06-22/companies/tw-2301/risk_plan.html
tw,2345,智邦,buy_now,Watch only,2595.0,2026-06-22 00:00:00+08:00,0% until valuation and fundamental evidence are decision-ready; 5% single-name cap after clearance,0.75% conditional initial risk budget after valuation/fundamental clearance,numeric downside not source-backed; source report references signal-day low or short moving average where applicable,requires ADV/participation analysis before sizing; source-report turnover and Yahoo volume are included as preliminary liquidity context,not-decision-ready,not_computed_due_missing_inputs,no hedge recommended at screen stage; use size-down/no-position until valuation and trigger evidence improve,"add only after source-backed valuation, fundamentals, and technical confirmation are all upgraded",trim or keep at zero if price extends without volume/valuation support or DCF remains not-decision-ready,remove from active candidate list if technical trigger fails or missing valuation evidence cannot be resolved,no model capital at risk before decision-ready valuation; conditional risk budget follows StockLoop batch defaults,daily price/volume review until trigger resolves; refresh valuation evidence before any model allocation,reports/public-equity-batch/2026-06-22/companies/tw-2345/risk_plan.html
tw,2609,陽明,buy_now,Watch only,52.3,2026-06-22 00:00:00+08:00,0% until valuation and fundamental evidence are decision-ready; 5% single-name cap after clearance,0.75% conditional initial risk budget after valuation/fundamental clearance,numeric downside not source-backed; source report references signal-day low or short moving average where applicable,requires ADV/participation analysis before sizing; source-report turnover and Yahoo volume are included as preliminary liquidity context,not-decision-ready,not_computed_due_missing_inputs,no hedge recommended at screen stage; use size-down/no-position until valuation and trigger evidence improve,"add only after source-backed valuation, fundamentals, and technical confirmation are all upgraded",trim or keep at zero if price extends without volume/valuation support or DCF remains not-decision-ready,remove from active candidate list if technical trigger fails or missing valuation evidence cannot be resolved,no model capital at risk before decision-ready valuation; conditional risk budget follows StockLoop batch defaults,daily price/volume review until trigger resolves; refresh valuation evidence before any model allocation,reports/public-equity-batch/2026-06-22/companies/tw-2609/risk_plan.html
tw,3028,增你強,buy_now,Watch only,82.5,2026-06-22 00:00:00+08:00,0% until valuation and fundamental evidence are decision-ready; 5% single-name cap after clearance,0.75% conditional initial risk budget after valuation/fundamental clearance,numeric downside not source-backed; source report references signal-day low or short moving average where applicable,requires ADV/participation analysis before sizing; source-report turnover and Yahoo volume are included as preliminary liquidity context,not-decision-ready,not_computed_due_missing_inputs,no hedge recommended at screen stage; use size-down/no-position until valuation and trigger evidence improve,"add only after source-backed valuation, fundamentals, and technical confirmation are all upgraded",trim or keep at zero if price extends without volume/valuation support or DCF remains not-decision-ready,remove from active candidate list if technical trigger fails or missing valuation evidence cannot be resolved,no model capital at risk before decision-ready valuation; conditional risk budget follows StockLoop batch defaults,daily price/volume review until trigger resolves; refresh valuation evidence before any model allocation,reports/public-equity-batch/2026-06-22/companies/tw-3028/risk_plan.html
tw,3135,凌航,buy_now,Watch only,207.0,2026-06-22 00:00:00+08:00,0% until valuation and fundamental evidence are decision-ready; 5% single-name cap after clearance,0.75% conditional initial risk budget after valuation/fundamental clearance,numeric downside not source-backed; source report references signal-day low or short moving average where applicable,requires ADV/participation analysis before sizing; source-report turnover and Yahoo volume are included as preliminary liquidity context,not-decision-ready,not_computed_due_missing_inputs,no hedge recommended at screen stage; use size-down/no-position until valuation and trigger evidence improve,"add only after source-backed valuation, fundamentals, and technical confirmation are all upgraded",trim or keep at zero if price extends without volume/valuation support or DCF remains not-decision-ready,remove from active candidate list if technical trigger fails or missing valuation evidence cannot be resolved,no model capital at risk before decision-ready valuation; conditional risk budget follows StockLoop batch defaults,daily price/volume review until trigger resolves; refresh valuation evidence before any model allocation,reports/public-equity-batch/2026-06-22/companies/tw-3135/risk_plan.html
tw,4526,東台,buy_now,Watch only,43.05,2026-06-22 00:00:00+08:00,0% until valuation and fundamental evidence are decision-ready; 5% single-name cap after clearance,0.75% conditional initial risk budget after valuation/fundamental clearance,numeric downside not source-backed; source report references signal-day low or short moving average where applicable,requires ADV/participation analysis before sizing; source-report turnover and Yahoo volume are included as preliminary liquidity context,not-decision-ready,not_computed_due_missing_inputs,no hedge recommended at screen stage; use size-down/no-position until valuation and trigger evidence improve,"add only after source-backed valuation, fundamentals, and technical confirmation are all upgraded",trim or keep at zero if price extends without volume/valuation support or DCF remains not-decision-ready,remove from active candidate list if technical trigger fails or missing valuation evidence cannot be resolved,no model capital at risk before decision-ready valuation; conditional risk budget follows StockLoop batch defaults,daily price/volume review until trigger resolves; refresh valuation evidence before any model allocation,reports/public-equity-batch/2026-06-22/companies/tw-4526/risk_plan.html
tw,4906,正文,buy_now,Watch only,47.65,2026-06-22 00:00:00+08:00,0% until valuation and fundamental evidence are decision-ready; 5% single-name cap after clearance,0.75% conditional initial risk budget after valuation/fundamental clearance,numeric downside not source-backed; source report references signal-day low or short moving average where applicable,requires ADV/participation analysis before sizing; source-report turnover and Yahoo volume are included as preliminary liquidity context,not-decision-ready,not_computed_due_missing_inputs,no hedge recommended at screen stage; use size-down/no-position until valuation and trigger evidence improve,"add only after source-backed valuation, fundamentals, and technical confirmation are all upgraded",trim or keep at zero if price extends without volume/valuation support or DCF remains not-decision-ready,remove from active candidate list if technical trigger fails or missing valuation evidence cannot be resolved,no model capital at risk before decision-ready valuation; conditional risk budget follows StockLoop batch defaults,daily price/volume review until trigger resolves; refresh valuation evidence before any model allocation,reports/public-equity-batch/2026-06-22/companies/tw-4906/risk_plan.html
tw,5871,中租-KY,buy_now,Watch only,118.0,2026-06-22 00:00:00+08:00,0% until valuation and fundamental evidence are decision-ready; 5% single-name cap after clearance,0.75% conditional initial risk budget after valuation/fundamental clearance,numeric downside not source-backed; source report references signal-day low or short moving average where applicable,requires ADV/participation analysis before sizing; source-report turnover and Yahoo volume are included as preliminary liquidity context,not-decision-ready,not_computed_due_missing_inputs,no hedge recommended at screen stage; use size-down/no-position until valuation and trigger evidence improve,"add only after source-backed valuation, fundamentals, and technical confirmation are all upgraded",trim or keep at zero if price extends without volume/valuation support or DCF remains not-decision-ready,remove from active candidate list if technical trigger fails or missing valuation evidence cannot be resolved,no model capital at risk before decision-ready valuation; conditional risk budget follows StockLoop batch defaults,daily price/volume review until trigger resolves; refresh valuation evidence before any model allocation,reports/public-equity-batch/2026-06-22/companies/tw-5871/risk_plan.html
tw,6830,汎銓,buy_now,Watch only,608.0,2026-06-22 00:00:00+08:00,0% until valuation and fundamental evidence are decision-ready; 5% single-name cap after clearance,0.75% conditional initial risk budget after valuation/fundamental clearance,numeric downside not source-backed; source report references signal-day low or short moving average where applicable,requires ADV/participation analysis before sizing; source-report turnover and Yahoo volume are included as preliminary liquidity context,not-decision-ready,not_computed_due_missing_inputs,no hedge recommended at screen stage; use size-down/no-position until valuation and trigger evidence improve,"add only after source-backed valuation, fundamentals, and technical confirmation are all upgraded",trim or keep at zero if price extends without volume/valuation support or DCF remains not-decision-ready,remove from active candidate list if technical trigger fails or missing valuation evidence cannot be resolved,no model capital at risk before decision-ready valuation; conditional risk budget follows StockLoop batch defaults,daily price/volume review until trigger resolves; refresh valuation evidence before any model allocation,reports/public-equity-batch/2026-06-22/companies/tw-6830/risk_plan.html
