market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,key_missing_evidence,tearsheet,initiation,risk_plan
tw,2303,聯電,buy_now,Watch only,171.0,TWD,2026-06-23 00:00:00+08:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/tw-2303/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/tw-2303/initiation.html,reports/public-equity-batch/2026-06-23/companies/tw-2303/risk_plan.html
tw,2330,台積電,buy_now,Watch only,2490.0,TWD,2026-06-23 00:00:00+08:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/tw-2330/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/tw-2330/initiation.html,reports/public-equity-batch/2026-06-23/companies/tw-2330/risk_plan.html
tw,2379,瑞昱,buy_now,Watch only,863.0,TWD,2026-06-23 00:00:00+08:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/tw-2379/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/tw-2379/initiation.html,reports/public-equity-batch/2026-06-23/companies/tw-2379/risk_plan.html
tw,2454,聯發科,buy_now,Watch only,4535.0,TWD,2026-06-23 00:00:00+08:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/tw-2454/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/tw-2454/initiation.html,reports/public-equity-batch/2026-06-23/companies/tw-2454/risk_plan.html
tw,2464,盟立,buy_now,Watch only,172.0,TWD,2026-06-23 00:00:00+08:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/tw-2464/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/tw-2464/initiation.html,reports/public-equity-batch/2026-06-23/companies/tw-2464/risk_plan.html
tw,2890,永豐金,buy_now,Watch only,39.8,TWD,2026-06-23 00:00:00+08:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/tw-2890/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/tw-2890/initiation.html,reports/public-equity-batch/2026-06-23/companies/tw-2890/risk_plan.html
tw,3008,大立光,buy_now,Watch only,5000.0,TWD,2026-06-23 00:00:00+08:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/tw-3008/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/tw-3008/initiation.html,reports/public-equity-batch/2026-06-23/companies/tw-3008/risk_plan.html
tw,3019,亞光,buy_now,Watch only,157.0,TWD,2026-06-23 00:00:00+08:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/tw-3019/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/tw-3019/initiation.html,reports/public-equity-batch/2026-06-23/companies/tw-3019/risk_plan.html
tw,3532,台勝科,buy_now,Watch only,376.5,TWD,2026-06-23 00:00:00+08:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/tw-3532/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/tw-3532/initiation.html,reports/public-equity-batch/2026-06-23/companies/tw-3532/risk_plan.html
tw,5347,世界先進,buy_now,Watch only,186.0,TWD,2026-06-23 00:00:00+08:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/tw-5347/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/tw-5347/initiation.html,reports/public-equity-batch/2026-06-23/companies/tw-5347/risk_plan.html
tw,6488,環球晶,buy_now,Watch only,1020.0,TWD,2026-06-23 00:00:00+08:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/tw-6488/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/tw-6488/initiation.html,reports/public-equity-batch/2026-06-23/companies/tw-6488/risk_plan.html
us,IBM,IBM,buy_now,Watch only,252.22,USD,2026-06-22 00:00:00-04:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/us-IBM/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/us-IBM/initiation.html,reports/public-equity-batch/2026-06-23/companies/us-IBM/risk_plan.html
us,INTC,Intel,buy_now,Watch only,140.94,USD,2026-06-22 00:00:00-04:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/us-INTC/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/us-INTC/initiation.html,reports/public-equity-batch/2026-06-23/companies/us-INTC/risk_plan.html
us,SNDK,SanDisk,buy_now,Watch only,2273.73,USD,2026-06-22 00:00:00-04:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/us-SNDK/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/us-SNDK/initiation.html,reports/public-equity-batch/2026-06-23/companies/us-SNDK/risk_plan.html
us,UMC,United Microelectronics ADR,buy_now,Watch only,27.5,USD,2026-06-22 00:00:00-04:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/us-UMC/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/us-UMC/initiation.html,reports/public-equity-batch/2026-06-23/companies/us-UMC/risk_plan.html
tw,1802,台玻,wait_entry,Wait for trigger,69.9,TWD,2026-06-23 00:00:00+08:00,complete,not_run,最新申報財務與現金流資料尚未完整匯入; 資本結構、流動性與成交量資料尚未由公開文件完整驗證; 管理層指引、市場共識與技術觸發條件尚未完成交叉驗證; 本流程未執行估值模型，需另以公開資料補證據,reports/public-equity-batch/2026-06-23/companies/tw-1802/tearsheet.html,reports/public-equity-batch/2026-06-23/companies/tw-1802/initiation.html,reports/public-equity-batch/2026-06-23/companies/tw-1802/risk_plan.html
