market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,dcf_status,dcf_base_value,dcf_bear_value,dcf_bull_value,dcf_upside_downside_pct,dcf_workbook_path,key_missing_inputs,tearsheet,initiation,dcf,risk_plan
tw,1717,長興,buy_now,Watch only,74.7,TWD,2026-06-22 00:00:00+08:00,not-decision-ready,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,reports/public-equity-batch/2026-06-22/companies/tw-1717/dcf/banker_formula_workbook.xlsx,"latest filed income statement, balance sheet, and cash-flow statement not ingested for this batch run; normalized revenue, EBIT, tax, D&A, capex, working-capital, and FCF history not sourced; management guidance or consensus forecast path not sourced; filing-based diluted share count and net debt bridge not sourced; WACC build, terminal growth, and exit multiple assumptions not source-backed",reports/public-equity-batch/2026-06-22/companies/tw-1717/tearsheet.html,reports/public-equity-batch/2026-06-22/companies/tw-1717/initiation.html,reports/public-equity-batch/2026-06-22/companies/tw-1717/dcf/banker_formula_workbook.xlsx,reports/public-equity-batch/2026-06-22/companies/tw-1717/risk_plan.html
tw,2301,光寶科,buy_now,Watch only,231.5,TWD,2026-06-22 00:00:00+08:00,not-decision-ready,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,reports/public-equity-batch/2026-06-22/companies/tw-2301/dcf/banker_formula_workbook.xlsx,"latest filed income statement, balance sheet, and cash-flow statement not ingested for this batch run; normalized revenue, EBIT, tax, D&A, capex, working-capital, and FCF history not sourced; management guidance or consensus forecast path not sourced; filing-based diluted share count and net debt bridge not sourced; WACC build, terminal growth, and exit multiple assumptions not source-backed",reports/public-equity-batch/2026-06-22/companies/tw-2301/tearsheet.html,reports/public-equity-batch/2026-06-22/companies/tw-2301/initiation.html,reports/public-equity-batch/2026-06-22/companies/tw-2301/dcf/banker_formula_workbook.xlsx,reports/public-equity-batch/2026-06-22/companies/tw-2301/risk_plan.html
tw,2345,智邦,buy_now,Watch only,2595.0,TWD,2026-06-22 00:00:00+08:00,not-decision-ready,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,reports/public-equity-batch/2026-06-22/companies/tw-2345/dcf/banker_formula_workbook.xlsx,"latest filed income statement, balance sheet, and cash-flow statement not ingested for this batch run; normalized revenue, EBIT, tax, D&A, capex, working-capital, and FCF history not sourced; management guidance or consensus forecast path not sourced; filing-based diluted share count and net debt bridge not sourced; WACC build, terminal growth, and exit multiple assumptions not source-backed",reports/public-equity-batch/2026-06-22/companies/tw-2345/tearsheet.html,reports/public-equity-batch/2026-06-22/companies/tw-2345/initiation.html,reports/public-equity-batch/2026-06-22/companies/tw-2345/dcf/banker_formula_workbook.xlsx,reports/public-equity-batch/2026-06-22/companies/tw-2345/risk_plan.html
tw,2609,陽明,buy_now,Watch only,52.3,TWD,2026-06-22 00:00:00+08:00,not-decision-ready,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,reports/public-equity-batch/2026-06-22/companies/tw-2609/dcf/banker_formula_workbook.xlsx,"latest filed income statement, balance sheet, and cash-flow statement not ingested for this batch run; normalized revenue, EBIT, tax, D&A, capex, working-capital, and FCF history not sourced; management guidance or consensus forecast path not sourced; filing-based diluted share count and net debt bridge not sourced; WACC build, terminal growth, and exit multiple assumptions not source-backed",reports/public-equity-batch/2026-06-22/companies/tw-2609/tearsheet.html,reports/public-equity-batch/2026-06-22/companies/tw-2609/initiation.html,reports/public-equity-batch/2026-06-22/companies/tw-2609/dcf/banker_formula_workbook.xlsx,reports/public-equity-batch/2026-06-22/companies/tw-2609/risk_plan.html
tw,3028,增你強,buy_now,Watch only,82.5,TWD,2026-06-22 00:00:00+08:00,not-decision-ready,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,reports/public-equity-batch/2026-06-22/companies/tw-3028/dcf/banker_formula_workbook.xlsx,"latest filed income statement, balance sheet, and cash-flow statement not ingested for this batch run; normalized revenue, EBIT, tax, D&A, capex, working-capital, and FCF history not sourced; management guidance or consensus forecast path not sourced; filing-based diluted share count and net debt bridge not sourced; WACC build, terminal growth, and exit multiple assumptions not source-backed",reports/public-equity-batch/2026-06-22/companies/tw-3028/tearsheet.html,reports/public-equity-batch/2026-06-22/companies/tw-3028/initiation.html,reports/public-equity-batch/2026-06-22/companies/tw-3028/dcf/banker_formula_workbook.xlsx,reports/public-equity-batch/2026-06-22/companies/tw-3028/risk_plan.html
tw,3135,凌航,buy_now,Watch only,207.0,TWD,2026-06-22 00:00:00+08:00,not-decision-ready,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,reports/public-equity-batch/2026-06-22/companies/tw-3135/dcf/banker_formula_workbook.xlsx,"latest filed income statement, balance sheet, and cash-flow statement not ingested for this batch run; normalized revenue, EBIT, tax, D&A, capex, working-capital, and FCF history not sourced; management guidance or consensus forecast path not sourced; filing-based diluted share count and net debt bridge not sourced; WACC build, terminal growth, and exit multiple assumptions not source-backed",reports/public-equity-batch/2026-06-22/companies/tw-3135/tearsheet.html,reports/public-equity-batch/2026-06-22/companies/tw-3135/initiation.html,reports/public-equity-batch/2026-06-22/companies/tw-3135/dcf/banker_formula_workbook.xlsx,reports/public-equity-batch/2026-06-22/companies/tw-3135/risk_plan.html
tw,4526,東台,buy_now,Watch only,43.05,TWD,2026-06-22 00:00:00+08:00,not-decision-ready,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,reports/public-equity-batch/2026-06-22/companies/tw-4526/dcf/banker_formula_workbook.xlsx,"latest filed income statement, balance sheet, and cash-flow statement not ingested for this batch run; normalized revenue, EBIT, tax, D&A, capex, working-capital, and FCF history not sourced; management guidance or consensus forecast path not sourced; filing-based diluted share count and net debt bridge not sourced; WACC build, terminal growth, and exit multiple assumptions not source-backed",reports/public-equity-batch/2026-06-22/companies/tw-4526/tearsheet.html,reports/public-equity-batch/2026-06-22/companies/tw-4526/initiation.html,reports/public-equity-batch/2026-06-22/companies/tw-4526/dcf/banker_formula_workbook.xlsx,reports/public-equity-batch/2026-06-22/companies/tw-4526/risk_plan.html
tw,4906,正文,buy_now,Watch only,47.65,TWD,2026-06-22 00:00:00+08:00,not-decision-ready,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,reports/public-equity-batch/2026-06-22/companies/tw-4906/dcf/banker_formula_workbook.xlsx,"latest filed income statement, balance sheet, and cash-flow statement not ingested for this batch run; normalized revenue, EBIT, tax, D&A, capex, working-capital, and FCF history not sourced; management guidance or consensus forecast path not sourced; filing-based diluted share count and net debt bridge not sourced; WACC build, terminal growth, and exit multiple assumptions not source-backed",reports/public-equity-batch/2026-06-22/companies/tw-4906/tearsheet.html,reports/public-equity-batch/2026-06-22/companies/tw-4906/initiation.html,reports/public-equity-batch/2026-06-22/companies/tw-4906/dcf/banker_formula_workbook.xlsx,reports/public-equity-batch/2026-06-22/companies/tw-4906/risk_plan.html
tw,5871,中租-KY,buy_now,Watch only,118.0,TWD,2026-06-22 00:00:00+08:00,not-decision-ready,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,reports/public-equity-batch/2026-06-22/companies/tw-5871/dcf/banker_formula_workbook.xlsx,"latest filed income statement, balance sheet, and cash-flow statement not ingested for this batch run; normalized revenue, EBIT, tax, D&A, capex, working-capital, and FCF history not sourced; management guidance or consensus forecast path not sourced; filing-based diluted share count and net debt bridge not sourced; WACC build, terminal growth, and exit multiple assumptions not source-backed",reports/public-equity-batch/2026-06-22/companies/tw-5871/tearsheet.html,reports/public-equity-batch/2026-06-22/companies/tw-5871/initiation.html,reports/public-equity-batch/2026-06-22/companies/tw-5871/dcf/banker_formula_workbook.xlsx,reports/public-equity-batch/2026-06-22/companies/tw-5871/risk_plan.html
tw,6830,汎銓,buy_now,Watch only,608.0,TWD,2026-06-22 00:00:00+08:00,not-decision-ready,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,not_computed_due_missing_inputs,reports/public-equity-batch/2026-06-22/companies/tw-6830/dcf/banker_formula_workbook.xlsx,"latest filed income statement, balance sheet, and cash-flow statement not ingested for this batch run; normalized revenue, EBIT, tax, D&A, capex, working-capital, and FCF history not sourced; management guidance or consensus forecast path not sourced; filing-based diluted share count and net debt bridge not sourced; WACC build, terminal growth, and exit multiple assumptions not source-backed",reports/public-equity-batch/2026-06-22/companies/tw-6830/tearsheet.html,reports/public-equity-batch/2026-06-22/companies/tw-6830/initiation.html,reports/public-equity-batch/2026-06-22/companies/tw-6830/dcf/banker_formula_workbook.xlsx,reports/public-equity-batch/2026-06-22/companies/tw-6830/risk_plan.html
