market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
us,AMKR,Amkor Technology,buy_now,Watch only,82.33999633789062,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 21.88%; 20D low 64.32 (input only; PM must verify),"20D avg trade value 528,345,969.95; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29-us-kline/companies/us-AMKR/risk_plan.html
us,ANET,Arista Networks,buy_now,Watch only,164.10000610351562,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 11.44%; 20D low 145.32 (input only; PM must verify),"20D avg trade value 1,319,962,639.25; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29-us-kline/companies/us-ANET/risk_plan.html
us,APP,Applovin Corporation - Class A Common Stock,buy_now,Watch only,498.760009765625,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 16.1%; 20D low 418.46 (input only; PM must verify),"20D avg trade value 2,670,587,730.25; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29-us-kline/companies/us-APP/risk_plan.html
us,FLEX,Flex Ltd. - Ordinary Shares,buy_now,Watch only,159.55999755859375,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 13.65%; 20D low 137.78 (input only; PM must verify),"20D avg trade value 1,483,447,395.6; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29-us-kline/companies/us-FLEX/risk_plan.html
us,FORM,FormFactor,buy_now,Watch only,144.1699981689453,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 21.41%; 20D low 113.3 (input only; PM must verify),"20D avg trade value 268,625,103.1; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29-us-kline/companies/us-FORM/risk_plan.html
us,IRDM,Iridium Communications Inc - Common Stock,buy_now,Not decision-ready,54.59000015258789,2026-06-29,0%; not decision-ready,0.0075,20d_low distance 25.63%; 20D low 40.6 (input only; PM must verify),"20D avg trade value 160,076,366.6; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29-us-kline/companies/us-IRDM/risk_plan.html
us,LSCC,Lattice Semiconductor Corporation - Common Stock,buy_now,Watch only,146.77999877929688,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 11.65%; 20D low 129.68 (input only; PM must verify),"20D avg trade value 290,408,523.3; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29-us-kline/companies/us-LSCC/risk_plan.html
us,MDB,MongoDB,buy_now,Watch only,338.17999267578125,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 14.08%; 20D low 290.57 (input only; PM must verify),"20D avg trade value 711,660,745.2; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29-us-kline/companies/us-MDB/risk_plan.html
us,MRVL,Marvell Technology,buy_now,Watch only,277.75,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 29.75%; 20D low 195.12 (input only; PM must verify),"20D avg trade value 20,659,799,575.3; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29-us-kline/companies/us-MRVL/risk_plan.html
us,NBIS,Nebius Group N.V. - Class A Ordinary Shares,buy_now,Watch only,261.1499938964844,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 23.3%; 20D low 200.3 (input only; PM must verify),"20D avg trade value 4,435,980,991.6; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-29-us-kline/companies/us-NBIS/risk_plan.html
