market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,00935,00935 科技型 ETF,buy_now,Watch only,58.8,TWD,2026-06-26,partial,not_run,本 report-scope PEI artifact 由 StockLoop 本地 KOL/news、industry thesis 與 quote ledger 生成；尚未逐檔執行完整 Public Equity Investing specialist research; 尚缺官方 filings / 年報 / 法說 transcript / IR presentation 查核; 尚缺 consensus、估值模型、流動性模型、downside/stop distance 與完整風險報酬 tie-out; valuation_status=not_run；不得解讀為 decision-ready 或個人化投資建議; fund_or_etf 不適用 common-equity PEI 模型，需工具型/ETF 風險路徑; 官方公司/證券身分驗證未完成; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=低; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-29/companies/tw-00935/summary.html,reports/public-equity-batch/2026-06-29/companies/tw-00935/tearsheet.html,reports/public-equity-batch/2026-06-29/companies/tw-00935/initiation.html,reports/public-equity-batch/2026-06-29/companies/tw-00935/risk_plan.html
tw,2368,金像電,buy_now,Watch only,1190.0,TWD,2026-06-26,partial,not_run,本 report-scope PEI artifact 由 StockLoop 本地 KOL/news、industry thesis 與 quote ledger 生成；尚未逐檔執行完整 Public Equity Investing specialist research; 尚缺官方 filings / 年報 / 法說 transcript / IR presentation 查核; 尚缺 consensus、估值模型、流動性模型、downside/stop distance 與完整風險報酬 tie-out; valuation_status=not_run；不得解讀為 decision-ready 或個人化投資建議; 官方公司/證券身分驗證未完成; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=低; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-29/companies/tw-2368/summary.html,reports/public-equity-batch/2026-06-29/companies/tw-2368/tearsheet.html,reports/public-equity-batch/2026-06-29/companies/tw-2368/initiation.html,reports/public-equity-batch/2026-06-29/companies/tw-2368/risk_plan.html
tw,5469,瀚宇博,buy_now,Not decision-ready,87.4,TWD,2026-06-26,partial,not_run,本 report-scope PEI artifact 由 StockLoop 本地 KOL/news、industry thesis 與 quote ledger 生成；尚未逐檔執行完整 Public Equity Investing specialist research; 尚缺官方 filings / 年報 / 法說 transcript / IR presentation 查核; 尚缺 consensus、估值模型、流動性模型、downside/stop distance 與完整風險報酬 tie-out; valuation_status=not_run；不得解讀為 decision-ready 或個人化投資建議; 官方公司/證券身分驗證未完成; 產業 thesis Gate=炒作或擁擠交易風險偏高；炒作風險=高; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-29/companies/tw-5469/summary.html,reports/public-equity-batch/2026-06-29/companies/tw-5469/tearsheet.html,reports/public-equity-batch/2026-06-29/companies/tw-5469/initiation.html,reports/public-equity-batch/2026-06-29/companies/tw-5469/risk_plan.html
us,MSFT,微軟,buy_now,Not decision-ready,372.97,USD,2026-06-26T20:00:01Z,partial,not_run,本 report-scope PEI artifact 由 StockLoop 本地 KOL/news、industry thesis 與 quote ledger 生成；尚未逐檔執行完整 Public Equity Investing specialist research; 尚缺官方 filings / 年報 / 法說 transcript / IR presentation 查核; 尚缺 consensus、估值模型、流動性模型、downside/stop distance 與完整風險報酬 tie-out; valuation_status=not_run；不得解讀為 decision-ready 或個人化投資建議; 官方公司/證券身分驗證未完成; 產業 thesis Gate=炒作或擁擠交易風險偏高；炒作風險=高; 產業 thesis 缺失證據：SEC company tickers 未命中或 SEC_USER_AGENT 未設定; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-29/companies/us-MSFT/summary.html,reports/public-equity-batch/2026-06-29/companies/us-MSFT/tearsheet.html,reports/public-equity-batch/2026-06-29/companies/us-MSFT/initiation.html,reports/public-equity-batch/2026-06-29/companies/us-MSFT/risk_plan.html
tw,0050,元大台灣 50,wait_entry,Wait for trigger,103.1,TWD,2026-06-26,partial,not_run,本 report-scope PEI artifact 由 StockLoop 本地 KOL/news、industry thesis 與 quote ledger 生成；尚未逐檔執行完整 Public Equity Investing specialist research; 尚缺官方 filings / 年報 / 法說 transcript / IR presentation 查核; 尚缺 consensus、估值模型、流動性模型、downside/stop distance 與完整風險報酬 tie-out; valuation_status=not_run；不得解讀為 decision-ready 或個人化投資建議; fund_or_etf 不適用 common-equity PEI 模型，需工具型/ETF 風險路徑; 官方公司/證券身分驗證未完成,reports/public-equity-batch/2026-06-29/companies/tw-0050/summary.html,reports/public-equity-batch/2026-06-29/companies/tw-0050/tearsheet.html,reports/public-equity-batch/2026-06-29/companies/tw-0050/initiation.html,reports/public-equity-batch/2026-06-29/companies/tw-0050/risk_plan.html
tw,2330,台積電,wait_entry,Wait for trigger,2340.0,TWD,2026-06-26,partial,not_run,本 report-scope PEI artifact 由 StockLoop 本地 KOL/news、industry thesis 與 quote ledger 生成；尚未逐檔執行完整 Public Equity Investing specialist research; 尚缺官方 filings / 年報 / 法說 transcript / IR presentation 查核; 尚缺 consensus、估值模型、流動性模型、downside/stop distance 與完整風險報酬 tie-out; valuation_status=not_run；不得解讀為 decision-ready 或個人化投資建議; 官方公司/證券身分驗證未完成; 產業 thesis Gate=目前偏題材，缺公司級落地證據；炒作風險=低; 產業 thesis 缺失證據：台股官方公司基本資料未命中; 產業 thesis 缺失證據：月營收資料未命中或未接到此市場; 產業 thesis 缺失證據：近 7 日公開新聞熱度未命中或未抓取; 產業 thesis 缺失證據：缺少明確後續產業 KPI; 產業 thesis 缺失證據：缺少公司級官方營收、訂單、財報或法說支撐,reports/public-equity-batch/2026-06-29/companies/tw-2330/summary.html,reports/public-equity-batch/2026-06-29/companies/tw-2330/tearsheet.html,reports/public-equity-batch/2026-06-29/companies/tw-2330/initiation.html,reports/public-equity-batch/2026-06-29/companies/tw-2330/risk_plan.html
tw,3037,欣興,wait_entry,Wait for trigger,975.0,TWD,2026-06-26,partial,not_run,本 report-scope PEI artifact 由 StockLoop 本地 KOL/news、industry thesis 與 quote ledger 生成；尚未逐檔執行完整 Public Equity Investing specialist research; 尚缺官方 filings / 年報 / 法說 transcript / IR presentation 查核; 尚缺 consensus、估值模型、流動性模型、downside/stop distance 與完整風險報酬 tie-out; valuation_status=not_run；不得解讀為 decision-ready 或個人化投資建議; 官方公司/證券身分驗證未完成,reports/public-equity-batch/2026-06-29/companies/tw-3037/summary.html,reports/public-equity-batch/2026-06-29/companies/tw-3037/tearsheet.html,reports/public-equity-batch/2026-06-29/companies/tw-3037/initiation.html,reports/public-equity-batch/2026-06-29/companies/tw-3037/risk_plan.html
tw,3189,景碩,wait_entry,Wait for trigger,797.0,TWD,2026-06-26,partial,not_run,本 report-scope PEI artifact 由 StockLoop 本地 KOL/news、industry thesis 與 quote ledger 生成；尚未逐檔執行完整 Public Equity Investing specialist research; 尚缺官方 filings / 年報 / 法說 transcript / IR presentation 查核; 尚缺 consensus、估值模型、流動性模型、downside/stop distance 與完整風險報酬 tie-out; valuation_status=not_run；不得解讀為 decision-ready 或個人化投資建議; 官方公司/證券身分驗證未完成,reports/public-equity-batch/2026-06-29/companies/tw-3189/summary.html,reports/public-equity-batch/2026-06-29/companies/tw-3189/tearsheet.html,reports/public-equity-batch/2026-06-29/companies/tw-3189/initiation.html,reports/public-equity-batch/2026-06-29/companies/tw-3189/risk_plan.html
tw,3481,群創,wait_entry,Wait for trigger,65.0,TWD,2026-06-26,partial,not_run,本 report-scope PEI artifact 由 StockLoop 本地 KOL/news、industry thesis 與 quote ledger 生成；尚未逐檔執行完整 Public Equity Investing specialist research; 尚缺官方 filings / 年報 / 法說 transcript / IR presentation 查核; 尚缺 consensus、估值模型、流動性模型、downside/stop distance 與完整風險報酬 tie-out; valuation_status=not_run；不得解讀為 decision-ready 或個人化投資建議; 官方公司/證券身分驗證未完成,reports/public-equity-batch/2026-06-29/companies/tw-3481/summary.html,reports/public-equity-batch/2026-06-29/companies/tw-3481/tearsheet.html,reports/public-equity-batch/2026-06-29/companies/tw-3481/initiation.html,reports/public-equity-batch/2026-06-29/companies/tw-3481/risk_plan.html
tw,4958,臻鼎-KY,wait_entry,Wait for trigger,580.0,TWD,2026-06-26,partial,not_run,本 report-scope PEI artifact 由 StockLoop 本地 KOL/news、industry thesis 與 quote ledger 生成；尚未逐檔執行完整 Public Equity Investing specialist research; 尚缺官方 filings / 年報 / 法說 transcript / IR presentation 查核; 尚缺 consensus、估值模型、流動性模型、downside/stop distance 與完整風險報酬 tie-out; valuation_status=not_run；不得解讀為 decision-ready 或個人化投資建議; 官方公司/證券身分驗證未完成,reports/public-equity-batch/2026-06-29/companies/tw-4958/summary.html,reports/public-equity-batch/2026-06-29/companies/tw-4958/tearsheet.html,reports/public-equity-batch/2026-06-29/companies/tw-4958/initiation.html,reports/public-equity-batch/2026-06-29/companies/tw-4958/risk_plan.html
