market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,1303,南亞,buy_now,Watch only,154.5,2026-06-23T00:00:00+08:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-1303/risk_plan.html
tw,2002,中鋼,buy_now,Watch only,19.2,2026-06-23T00:00:00+08:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-2002/risk_plan.html
tw,2108,南帝,buy_now,Watch only,28.3,2026-06-23T00:00:00+08:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-2108/risk_plan.html
tw,2330,台積電,buy_now,Watch only,2490.0,2026-06-23T00:00:00+08:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-2330/risk_plan.html
tw,2436,偉詮電,buy_now,Watch only,77.5,2026-06-23T00:00:00+08:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-2436/risk_plan.html
tw,2454,聯發科,buy_now,Watch only,4535.0,2026-06-23T00:00:00+08:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-2454/risk_plan.html
tw,2603,長榮,buy_now,Watch only,189.0,2026-06-23T00:00:00+08:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-2603/risk_plan.html
tw,3034,聯詠,buy_now,Watch only,544.0,2026-06-23T00:00:00+08:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-3034/risk_plan.html
tw,3105,穩懋,buy_now,Watch only,522.0,2026-06-23T00:00:00+08:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-3105/risk_plan.html
tw,3665,貿聯-KY,buy_now,Watch only,2000.0,2026-06-23T00:00:00+08:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-3665/risk_plan.html
tw,4991,環宇-KY,buy_now,Watch only,536.0,2026-06-23T00:00:00+08:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-4991/risk_plan.html
tw,5471,松翰,buy_now,Watch only,62.4,2026-06-23T00:00:00+08:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-5471/risk_plan.html
tw,6451,訊芯-KY,buy_now,Watch only,596.0,2026-06-23T00:00:00+08:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-6451/risk_plan.html
tw,6829,千附精密,buy_now,Watch only,206.0,2026-06-23T00:00:00+08:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-6829/risk_plan.html
us,AXTI,AXTI,buy_now,Watch only,77.91,2026-06-23T00:00:00-04:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/us-AXTI/risk_plan.html
us,IBM,IBM,buy_now,Watch only,264.94,2026-06-23T00:00:00-04:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/us-IBM/risk_plan.html
us,INFQ,INFQ,buy_now,Watch only,15.96,2026-06-23T00:00:00-04:00,0%,0.0075,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/us-INFQ/risk_plan.html
tw,00631L,元大台灣50正2,wait_entry,Wait for trigger,41.32,2026-06-22T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-00631L/risk_plan.html
tw,2303,聯電,wait_entry,Wait for trigger,170.0,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-2303/risk_plan.html
tw,2344,華邦電,wait_entry,Wait for trigger,211.5,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-2344/risk_plan.html
tw,2408,南亞科,wait_entry,Wait for trigger,454.5,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-2408/risk_plan.html
tw,2409,友達,wait_entry,Wait for trigger,29.05,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-2409/risk_plan.html
tw,3016,嘉晶,wait_entry,Wait for trigger,152.5,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-3016/risk_plan.html
