market_key,symbol,company,category,recommendation_label,current_price,price_currency,price_as_of,research_status,valuation_status,risk_status,horizon_status,decision_ready,readiness_blockers,next_required_workflow,near_term_3m,base_12m,long_term_3y,key_missing_evidence,summary,tearsheet,initiation,risk_plan
tw,0052,富邦科技,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-0052/summary.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-0052/tearsheet.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-0052/initiation.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-0052/risk_plan.html
tw,006205,富邦上証,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-006205/summary.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-006205/tearsheet.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-006205/initiation.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-006205/risk_plan.html
tw,00625K,富邦上証+R,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00625K/summary.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00625K/tearsheet.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00625K/initiation.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00625K/risk_plan.html
tw,00640L,富邦日本正2,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00640L/summary.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00640L/tearsheet.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00640L/initiation.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00640L/risk_plan.html
tw,00645,富邦日本,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00645/summary.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00645/tearsheet.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00645/initiation.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00645/risk_plan.html
tw,00682U,期元大美元指數,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00682U/summary.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00682U/tearsheet.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00682U/initiation.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00682U/risk_plan.html
tw,00684R,期元大美元指反1,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00684R/summary.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00684R/tearsheet.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00684R/initiation.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00684R/risk_plan.html
tw,00736,國泰新興市場,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00736/summary.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00736/tearsheet.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00736/initiation.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00736/risk_plan.html
tw,00875,國泰網路資安,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00875/summary.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00875/tearsheet.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00875/initiation.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00875/risk_plan.html
tw,00971,野村美國研發龍頭,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00971/summary.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00971/tearsheet.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00971/initiation.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-00971/risk_plan.html
tw,009805,新光美國電力基建,buy_now,,,,,,,,,false,market_data_not_complete; official_validation_not_complete; research_status_not_complete; valuation_status_not_complete; risk_status_not_complete; investment_horizon_not_complete,market-data refresh; official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,,,,,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-009805/summary.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-009805/tearsheet.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-009805/initiation.html,reports/public-equity-batch/2026-07-09-1250-tw-intraday-kline/companies/tw-009805/risk_plan.html
