market_key,symbol,company,industry,source_category,source_view,source_layout_suggestion,source_holding_suggestion,pei_recommendation_label,pei_recommendation_label_zh,current_price,price_currency,price_as_of,research_status,difference_type,difference_reason
tw,2303,聯電,晶圓代工,現在可以買名單,偏多,可納入成熟製程循環回升的 PEI 研究池,研究觀察,Watch only,僅觀察,171.0,TWD,2026-06-23 00:00:00+08:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
tw,3532,台勝科,矽晶圓,現在可以買名單,偏多,以 8 吋晶圓價格與月營收驗證,研究觀察,Watch only,僅觀察,376.5,TWD,2026-06-23 00:00:00+08:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
tw,5347,世界先進,晶圓代工,現在可以買名單,偏多,可納入成熟製程報價回升研究池,研究觀察,Watch only,僅觀察,186.0,TWD,2026-06-23 00:00:00+08:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
tw,6488,環球晶,矽晶圓,現在可以買名單,偏多,以報價回升作為分批研究條件,研究觀察,Watch only,僅觀察,1020.0,TWD,2026-06-23 00:00:00+08:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
us,IBM,IBM,資訊科技 / 量子計算,現在可以買名單,偏多,僅作政策題材研究池，不以短線追價,研究觀察,Watch only,僅觀察,252.22,USD,2026-06-22 00:00:00-04:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
us,INTC,Intel,半導體,現在可以買名單,偏多,僅限小量分批研究觀察；後續交由 PEI 驗證估值,研究觀察,Watch only,僅觀察,140.94,USD,2026-06-22 00:00:00-04:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
us,SNDK,SanDisk,記憶體,現在可以買名單,偏多,納入記憶體與 3D NAND 題材研究池,研究觀察,Watch only,僅觀察,2273.73,USD,2026-06-22 00:00:00-04:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
us,UMC,United Microelectronics ADR,晶圓代工,現在可以買名單,偏多,可納入成熟製程循環回升的 PEI 研究池,研究觀察,Watch only,僅觀察,27.5,USD,2026-06-22 00:00:00-04:00,complete,由買入候選降為研究觀察,PEI 已補目前價格與研究風控，但研究證據、技術觸發與風險報酬尚未達模型投組候選標準，因此維持觀察。
tw,2302,麗正,分離式元件,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,45.45,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
tw,2342,茂矽,半導體,現在不能買，但值得等買點名單,偏多,不追高，等族群整理後再研究,空手等待,Wait for trigger,等待觸發,57.0,TWD,2026-06-23 00:00:00+08:00,complete,維持等待買點,仍需等待技術觸發、研究證據與風險報酬共同確認；觸發前模型部位維持 0%。
