market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,2382,廣達,buy_now,Not decision-ready,367.0,2026-06-29,0%; not decision-ready,0.0075,20d_low distance 2.72%; 20D low 357 (input only; PM must verify),"20D avg trade value 17,202,640,563.5; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-30/companies/tw-2382/risk_plan.html
tw,2610,華航,buy_now,Watch only,23.1,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 18.18%; 20D low 18.9 (input only; PM must verify),"20D avg trade value 1,617,689,778.9; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-30/companies/tw-2610/risk_plan.html
tw,2618,長榮航,buy_now,Watch only,43.9,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 18.34%; 20D low 35.85 (input only; PM must verify),"20D avg trade value 2,766,152,897.45; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-30/companies/tw-2618/risk_plan.html
tw,2881,富邦金,buy_now,Watch only,128.5,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 16.73%; 20D low 107 (input only; PM must verify),"20D avg trade value 6,456,684,931.85; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-30/companies/tw-2881/risk_plan.html
tw,2882,國泰金,buy_now,Watch only,101.5,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 15.96%; 20D low 85.3 (input only; PM must verify),"20D avg trade value 4,732,933,166.8; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-30/companies/tw-2882/risk_plan.html
tw,3413,京鼎,buy_now,Watch only,314.0,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 8.92%; 20D low 286 (input only; PM must verify),"20D avg trade value 687,847,406; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-30/companies/tw-3413/risk_plan.html
tw,3680,家登,buy_now,Watch only,489.0,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 4.6%; 20D low 466.5 (input only; PM must verify),"20D avg trade value 900,707,259.67; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-30/companies/tw-3680/risk_plan.html
tw,5443,均豪,buy_now,Watch only,109.0,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 11.74%; 20D low 96.2 (input only; PM must verify),"20D avg trade value 199,900,060; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-30/companies/tw-5443/risk_plan.html
tw,6451,訊芯-KY,buy_now,Watch only,563.0,2026-06-29,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 11.28%; 20D low 499.5 (input only; PM must verify),"20D avg trade value 4,305,081,878.05; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-30/companies/tw-6451/risk_plan.html
us,AMAT,Applied Materials,buy_now,Watch only,694.64,2026-06-29T20:00:01Z,0%; watch-only until full PEI specialist workflow clears evidence gates,0.0075,20d_low distance 36.91%; 20D low 438.22 (input only; PM must verify),"20D avg trade value 6,883,071,697.55; PM must define liquidity cap",No hedge; model portfolio remains cash for this name until evidence clears,"Open or add only after full PEI specialist workflow confirms thesis, trigger, current price context, liquidity, and risk/reward","Trim or keep watch-only if source thesis, price trigger, or company-level evidence weakens","Exit/watch-only if thesis evidence fails, price trigger fails, or official evidence contradicts KOL/news setup",0 units at risk because model size is 0% in this partial artifact,Daily price and weekly fundamentals while in report-scope watch universe,reports/public-equity-batch/2026-06-30/companies/us-AMAT/risk_plan.html
